algo,controle,risque,graine,score,temps_s,fin
glouton,espace,loin_queue,384,123,306.2,mort
glouton,espace,loin_queue,385,109,225.4,mort
glouton,espace,loin_queue,386,210,1042.2,mort
glouton,espace,loin_queue,387,131,364.8,mort
glouton,espace,loin_queue,372,198,1128.2,mort
glouton,espace,loin_queue,373,200,1237.6,mort
glouton,espace,loin_queue,374,223,1027.0,victoire
glouton,espace,loin_queue,375,129,410.4,mort
glouton,espace,loin_queue,380,133,415.6,mort
glouton,espace,loin_queue,381,211,971.8,mort
glouton,espace,loin_queue,382,129,335.6,mort
glouton,espace,loin_queue,383,208,1761.2,boucle
glouton,espace,loin_queue,376,199,1485.8,boucle
glouton,espace,loin_queue,377,104,242.0,mort
glouton,espace,loin_queue,378,206,1153.2,mort
glouton,espace,loin_queue,379,211,1784.4,boucle
glouton,espace,loin_queue,392,131,337.0,mort
glouton,espace,loin_queue,393,208,1071.0,mort
glouton,espace,loin_queue,394,212,1692.4,boucle
glouton,espace,loin_queue,395,114,257.6,mort
glouton,espace,loin_queue,400,131,354.0,mort
glouton,espace,loin_queue,401,209,1547.0,boucle
glouton,espace,loin_queue,402,186,1119.2,mort
glouton,espace,loin_queue,403,103,207.0,mort
glouton,espace,loin_queue,364,188,1833.4,boucle
glouton,espace,loin_queue,365,214,2337.4,boucle
glouton,espace,loin_queue,366,221,1678.4,boucle
glouton,espace,loin_queue,367,151,859.8,mort
glouton,espace,loin_queue,388,213,1714.6,boucle
glouton,espace,loin_queue,389,205,920.2,mort
glouton,espace,loin_queue,390,221,1436.0,boucle
glouton,espace,loin_queue,391,135,408.2,mort
glouton,espace,loin_queue,396,221,1648.2,boucle
glouton,espace,loin_queue,397,207,842.2,mort
glouton,espace,loin_queue,398,133,448.2,mort
glouton,espace,loin_queue,399,215,1532.6,boucle
glouton,espace,loin_queue,404,209,1256.6,mort
glouton,espace,loin_queue,405,223,854.4,victoire
glouton,espace,loin_queue,406,128,418.2,mort
glouton,espace,loin_queue,407,219,1609.2,boucle
glouton,espace,loin_queue,408,216,1565.0,boucle
glouton,espace,loin_queue,409,79,155.6,mort
glouton,espace,loin_queue,410,215,1721.6,boucle
glouton,espace,loin_queue,411,223,1189.8,victoire
glouton,espace,loin_queue,416,137,425.2,mort
glouton,espace,loin_queue,417,223,917.6,victoire
glouton,espace,loin_queue,418,209,1323.2,mort
glouton,espace,loin_queue,419,143,622.4,mort
glouton,espace,loin_queue,412,213,1584.6,boucle
glouton,espace,loin_queue,413,220,1547.6,boucle
glouton,espace,loin_queue,414,116,283.8,mort
glouton,espace,loin_queue,415,214,1609.8,boucle
glouton,espace,loin_queue,424,211,1575.6,boucle
glouton,espace,loin_queue,425,123,370.2,mort
glouton,espace,loin_queue,426,157,902.2,mort
glouton,espace,loin_queue,427,134,1077.8,boucle
glouton,espace,loin_queue,436,170,753.6,mort
glouton,espace,loin_queue,437,216,1624.8,boucle
glouton,espace,loin_queue,438,138,533.8,mort
glouton,espace,loin_queue,439,109,286.0,mort
glouton,espace,loin_queue,444,135,427.0,mort
glouton,espace,loin_queue,445,125,329.6,mort
glouton,espace,loin_queue,446,222,743.6,mort
glouton,espace,loin_queue,447,215,1681.2,boucle
glouton,espace,loin_queue,428,151,591.2,mort
glouton,espace,loin_queue,429,213,1666.2,boucle
glouton,espace,loin_queue,430,215,1510.8,boucle
glouton,espace,loin_queue,431,220,1530.2,boucle
glouton,espace,loin_queue,440,217,1367.4,boucle
glouton,espace,loin_queue,441,137,534.6,mort
glouton,espace,loin_queue,442,209,1630.2,boucle
