partie,score,record,mean100,epsilon,steps,temps_s,victoire
574,20,65,27.150,0.0100,127292,1026.1,0
575,20,65,27.010,0.0100,127451,1027.3,0
576,42,65,26.940,0.0100,127815,1030.1,0
577,20,65,26.760,0.0100,127969,1031.2,0
578,18,65,26.790,0.0100,128147,1032.5,0
579,36,65,26.780,0.0100,128430,1034.7,0
580,53,65,27.000,0.0100,128923,1038.5,0
581,19,65,27.090,0.0100,129080,1039.7,0
582,47,65,27.460,0.0100,129527,1043.0,0
583,22,65,27.200,0.0100,129705,1044.4,0
584,22,65,27.110,0.0100,129883,1045.7,0
585,17,65,27.130,0.0100,130036,1046.8,0
586,31,65,27.200,0.0100,130280,1048.6,0
587,20,65,27.020,0.0100,130466,1050.1,0
588,46,65,27.120,0.0100,130887,1053.2,0
589,23,65,27.140,0.0100,131072,1054.6,0
590,25,65,27.300,0.0100,131249,1055.9,0
591,33,65,27.330,0.0100,131528,1058.0,0
592,9,65,27.230,0.0100,131591,1058.5,0
593,35,65,27.470,0.0100,131903,1060.8,0
594,10,65,27.240,0.0100,131978,1061.4,0
595,33,65,27.310,0.0100,132275,1063.7,0
596,43,65,27.250,0.0100,132633,1066.9,0
597,42,65,27.230,0.0100,132991,1069.7,0
598,29,65,27.050,0.0100,133265,1072.0,0
599,19,65,26.950,0.0100,133422,1073.2,0
600,25,65,27.000,0.0100,133633,1074.9,0
601,17,65,27.110,0.0100,133783,1079.2,0
602,23,65,27.090,0.0100,133996,1080.9,0
603,22,65,26.980,0.0100,134178,1082.4,0
604,47,65,27.180,0.0100,134618,1086.1,0
605,31,65,27.330,0.0100,134863,1088.1,0
606,12,65,27.120,0.0100,134961,1088.9,0
607,40,65,27.300,0.0100,135362,1092.2,0
608,30,65,27.330,0.0100,135603,1094.1,0
609,27,65,27.450,0.0100,135860,1096.2,0
610,34,65,27.510,0.0100,136115,1098.2,0
611,31,65,27.320,0.0100,136414,1100.5,0
612,14,65,27.180,0.0100,136528,1101.3,0
613,14,65,27.000,0.0100,136646,1102.2,0
614,23,65,26.970,0.0100,136857,1103.8,0
615,32,65,26.870,0.0100,137159,1106.1,0
616,20,65,26.930,0.0100,137337,1107.4,0
617,29,65,26.940,0.0100,137573,1109.4,0
618,13,65,26.980,0.0100,137672,1110.2,0
619,33,65,27.120,0.0100,137974,1112.5,0
620,15,65,27.110,0.0100,138084,1113.3,0
621,41,65,27.360,0.0100,138411,1115.9,0
622,22,65,27.420,0.0100,138597,1117.3,0
623,17,65,27.270,0.0100,138729,1118.3,0
624,8,65,27.020,0.0100,138799,1118.9,0
625,20,65,26.960,0.0100,138981,1120.3,0
626,22,65,26.930,0.0100,139202,1121.9,0
627,30,65,26.800,0.0100,139469,1123.9,0
628,27,65,26.780,0.0100,139722,1125.7,0
629,15,65,26.520,0.0100,139854,1126.7,0
630,27,65,26.630,0.0100,140121,1128.9,0
631,51,65,26.770,0.0100,140646,1132.6,0
632,15,65,26.740,0.0100,140763,1133.6,0
633,30,65,26.810,0.0100,141043,1135.5,0
634,28,65,26.620,0.0100,141256,1137.0,0
635,47,65,26.670,0.0100,141702,1140.3,0
636,20,65,26.450,0.0100,141872,1141.6,0
637,19,65,26.330,0.0100,142024,1142.7,0
638,27,65,26.410,0.0100,142262,1144.5,0
639,29,65,26.420,0.0100,142517,1146.5,0
640,20,65,26.480,0.0100,142705,1147.9,0
641,19,65,26.400,0.0100,142875,1149.1,0
642,20,65,26.210,0.0100,143034,1150.3,0
643,38,65,26.270,0.0100,143349,1152.7,0
644,8,65,26.150,0.0100,143417,1153.2,0
645,34,65,26.310,0.0100,143717,1155.4,0
646,14,65,26.140,0.0100,143820,1156.2,0
647,34,65,26.350,0.0100,144106,1158.3,0
648,26,65,26.170,0.0100,144304,1159.8,0
649,25,65,26.210,0.0100,144564,1161.7,0
650,22,65,26.060,0.0100,144769,1163.2,0
651,28,65,26.070,0.0100,145019,1165.2,0
652,35,65,26.240,0.0100,145423,1168.4,0
653,21,65,26.150,0.0100,145587,1169.7,0
654,34,65,26.230,0.0100,145876,1172.4,0
655,15,65,26.220,0.0100,145992,1173.3,0
656,18,65,26.280,0.0100,146112,1174.4,0
657,23,65,26.410,0.0100,146316,1176.2,0
658,15,65,26.360,0.0100,146457,1177.4,0
659,14,65,26.050,0.0100,146572,1178.3,0
660,27,65,25.990,0.0100,146786,1179.9,0
661,16,65,26.000,0.0100,146888,1180.7,0
662,29,65,25.920,0.0100,147139,1182.5,0
663,17,65,25.800,0.0100,147279,1183.7,0
664,29,65,25.690,0.0100,147521,1185.6,0
665,26,65,25.760,0.0100,147777,1187.7,0
666,26,65,25.860,0.0100,148019,1189.5,0
667,25,65,25.830,0.0100,148249,1191.2,0
668,27,65,25.810,0.0100,148490,1193.1,0
669,22,65,25.660,0.0100,148664,1194.5,0
670,14,65,25.580,0.0100,148781,1195.3,0
671,23,65,25.600,0.0100,148952,1196.7,0
672,49,65,25.720,0.0100,149413,1200.3,0
673,14,65,25.680,0.0100,149539,1201.3,0
674,25,65,25.730,0.0100,149754,1202.9,0
675,15,65,25.680,0.0100,149881,1203.9,0
676,41,65,25.670,0.0100,150220,1206.6,0
677,20,65,25.670,0.0100,150389,1207.9,0
678,21,65,25.700,0.0100,150563,1209.4,0
679,33,65,25.670,0.0100,150857,1211.9,0
680,24,65,25.380,0.0100,151096,1213.8,0
