partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
144,2,3,0.347,527,263.5,0.019,88.84
145,1,3,0.352,407,407.0,0.0123,90.15
146,0,3,0.349,301,nan,0.0,91.26
147,0,3,0.347,301,nan,0.0,92.34
148,0,3,0.345,301,nan,0.0,93.5
149,1,3,0.349,406,406.0,0.0123,94.75
150,0,3,0.347,301,nan,0.0,95.82
151,0,3,0.344,301,nan,0.0,96.94
152,1,3,0.349,445,445.0,0.0112,98.38
153,0,3,0.346,301,nan,0.0,99.48
154,0,3,0.344,301,nan,0.0,100.55
155,0,3,0.342,301,nan,0.0,101.6
156,0,3,0.34,301,nan,0.0,102.65
157,0,3,0.338,301,nan,0.0,103.69
158,0,3,0.335,301,nan,0.0,104.79
159,0,3,0.333,301,nan,0.0,105.84
160,0,3,0.331,301,nan,0.0,106.88
161,0,3,0.329,301,nan,0.0,107.97
162,0,3,0.327,301,nan,0.0,109.05
163,0,3,0.325,301,nan,0.0,110.19
164,0,3,0.323,301,nan,0.0,111.21
165,0,3,0.321,301,nan,0.0,112.23
166,0,3,0.319,301,nan,0.0,113.28
167,0,3,0.317,301,nan,0.0,114.31
168,0,3,0.315,301,nan,0.0,115.33
169,1,3,0.32,411,411.0,0.0122,116.57
170,0,3,0.318,301,nan,0.0,117.6
171,0,3,0.316,301,nan,0.0,118.62
172,0,3,0.314,301,nan,0.0,119.63
173,0,3,0.312,301,nan,0.0,120.64
174,0,3,0.31,301,nan,0.0,121.66
175,0,3,0.309,301,nan,0.0,122.67
176,0,3,0.307,301,nan,0.0,123.68
177,1,3,0.311,441,441.0,0.0113,124.97
178,1,3,0.315,407,407.0,0.0123,126.22
179,0,3,0.313,301,nan,0.0,127.25
180,0,3,0.311,301,nan,0.0,128.27
181,0,3,0.309,301,nan,0.0,129.29
182,1,3,0.313,420,420.0,0.0119,130.56
183,0,3,0.311,301,nan,0.0,131.59
184,0,3,0.31,301,nan,0.0,132.74
185,0,3,0.308,301,nan,0.0,133.75
186,0,3,0.306,301,nan,0.0,134.76
187,0,3,0.305,301,nan,0.0,135.78
