[50/20000] score=1 steps=540 cause=famine_truncated eps=195.1607427575532
[6450/20000] score=46 steps=489 cause=corps eps=11.792133188939374
[6500/20000] score=29 steps=244 cause=corps eps=11.599744735017515
[6550/20000] score=35 steps=361 cause=corps eps=11.412106368947716
[6600/20000] score=27 steps=276 cause=corps eps=11.229100810643041
[6650/20000] score=48 steps=597 cause=corps eps=11.050613675672214
[6700/20000] score=12 steps=92 cause=corps eps=10.876533403765626
[6750/20000] score=30 steps=294 cause=corps eps=10.70675118908654
[6800/20000] score=34 steps=369 cause=corps eps=10.541160912223912
[6850/20000] score=35 steps=408 cause=corps eps=10.379659073864273
[6900/20000] score=21 steps=181 cause=corps eps=10.222144730101315
[6950/20000] score=34 steps=359 cause=corps eps=10.068519429342668
[7000/20000] score=17 steps=135 cause=corps eps=9.918687150774426
[7050/20000] score=47 steps=528 cause=corps eps=9.772554244345029
[7100/20000] score=20 steps=188 cause=corps eps=9.63002937223093
[7150/20000] score=12 steps=115 cause=corps eps=9.491023451747473
[7200/20000] score=46 steps=512 cause=corps eps=9.355449599669342
[7250/20000] score=21 steps=199 cause=corps eps=9.223223077925674
[7300/20000] score=44 steps=416 cause=corps eps=9.094261240636047
[7350/20000] score=29 steps=257 cause=corps eps=8.96848348245409
[7400/20000] score=23 steps=229 cause=corps eps=8.84581118818652
[7450/20000] score=66 steps=711 cause=corps eps=8.726167683656104
[7500/20000] score=38 steps=365 cause=corps eps=8.609478187777786
[7550/20000] score=42 steps=402 cause=corps eps=8.49566976581807
[7600/20000] score=68 steps=814 cause=corps eps=8.384671283808458
[7650/20000] score=27 steps=266 cause=corps eps=8.276413364084382
[7700/20000] score=5 steps=41 cause=corps eps=8.170828341921926
[7750/20000] score=25 steps=276 cause=corps eps=8.067850223245149
[7800/20000] score=78 steps=1043 cause=corps eps=7.96741464337766
[7850/20000] score=41 steps=439 cause=corps eps=7.869458826812585
[7900/20000] score=32 steps=294 cause=corps eps=7.773921547975837
[7950/20000] score=47 steps=582 cause=corps eps=7.680743092958142
[8000/20000] score=15 steps=122 cause=corps eps=7.589865222191899
[8050/20000] score=22 steps=199 cause=corps eps=7.501231134049551
[8100/20000] score=31 steps=302 cause=corps eps=7.4147854293407285
[8150/20000] score=28 steps=237 cause=corps eps=7.330474076685936
[8200/20000] score=41 steps=501 cause=corps eps=7.2482443787452056
[8250/20000] score=53 steps=528 cause=corps eps=7.168044939280511
[8300/20000] score=20 steps=180 cause=corps eps=7.08982563103148
[8350/20000] score=34 steps=338 cause=corps eps=7.013537564384201
[8400/20000] score=49 steps=572 cause=corps eps=6.93913305681363
[8450/20000] score=18 steps=162 cause=corps eps=6.866565603080469
[8500/20000] score=56 steps=695 cause=corps eps=6.795789846163855
[8550/20000] score=46 steps=489 cause=corps eps=6.726761548911774
[8600/20000] score=65 steps=702 cause=corps eps=6.659437566391382
[8650/20000] score=53 steps=567 cause=corps eps=6.593775818922023
[8700/20000] score=41 steps=466 cause=corps eps=6.529735265774056
[8750/20000] score=58 steps=649 cause=corps eps=6.4672758795170635
[8800/20000] score=36 steps=330 cause=corps eps=6.406358621001414
[8850/20000] score=36 steps=334 cause=corps eps=6.34694541495751
[8900/20000] score=29 steps=230 cause=corps eps=6.288999126197506
[8950/20000] score=18 steps=166 cause=corps eps=6.232483536404622
[9000/20000] score=43 steps=453 cause=corps eps=6.177363321495492
[9050/20000] score=30 steps=333 cause=corps eps=6.123604029541486
[9100/20000] score=29 steps=271 cause=corps eps=6.071172059235121
[9150/20000] score=48 steps=420 cause=corps eps=6.020034638888146
[9200/20000] score=61 steps=646 cause=corps eps=5.9701598059481835
[9250/20000] score=51 steps=581 cause=corps eps=5.921516387021078
[9300/20000] score=37 steps=380 cause=corps eps=5.874073978386527
[9350/20000] score=39 steps=335 cause=corps eps=5.827802926994751
[9400/20000] score=44 steps=439 cause=corps eps=5.7826743119323805
[9450/20000] score=55 steps=584 cause=corps eps=5.738659926345939
[9500/20000] score=15 steps=148 cause=corps eps=5.695732259811645
[9550/20000] score=28 steps=213 cause=corps eps=5.653864481140499
[9600/20000] score=39 steps=424 cause=corps eps=5.613030421607926
[9650/20000] score=19 steps=169 cause=corps eps=5.57320455859745
[9700/20000] score=51 steps=564 cause=corps eps=5.534361999648252
[9750/20000] score=10 steps=86 cause=corps eps=5.496478466896552
[9800/20000] score=45 steps=441 cause=corps eps=5.45953028190117
[9850/20000] score=35 steps=301 cause=corps eps=5.423494350843719
[9900/20000] score=42 steps=436 cause=corps eps=5.388348150094215
[9950/20000] score=71 steps=1030 cause=corps eps=5.3540697121330885
[10000/20000] score=40 steps=448 cause=corps eps=5.320637611820751
[10050/20000] score=57 steps=559 cause=corps eps=5.288030953006205
[10100/20000] score=15 steps=145 cause=corps eps=5.256229355466251
[10150/20000] score=41 steps=421 cause=corps eps=5.2252129421671984
[10200/20000] score=19 steps=182 cause=corps eps=5.194962326841066
