n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1122,14,216,15.43,7.6,0,corps,30.14636897011614,4.2030
1123,23,309,13.43,11.6,0,corps,30.10611649806545,1.3981
1124,12,189,15.75,6.7,0,corps,30.065944450507555,1.3795
1125,8,97,12.12,4.9,0,corps,30.025852666754226,5.6704
1126,10,152,15.20,5.8,0,corps,29.985840986438262,4.4909
1127,17,358,21.06,8.9,0,corps,29.94590924951288,1.1010
1128,9,182,20.22,5.3,0,corps,29.90605729625111,1.3361
1129,9,183,20.33,5.3,0,corps,29.86628496724505,1.2624
1130,18,320,17.78,9.3,0,corps,29.826592103405357,1.5246
1131,14,191,13.64,7.6,0,corps,29.78697854596051,1.7323
1132,8,107,13.38,4.9,0,corps,29.747444136456224,1.1472
1133,18,313,17.39,9.3,0,corps,29.70798871675482,1.2303
1134,14,253,18.07,7.6,0,corps,29.66861212903456,1.1231
1135,16,222,13.88,8.4,0,corps,29.629314215789037,4.2401
1136,17,270,15.88,8.9,0,corps,29.590094819826557,1.1870
1137,23,377,16.39,11.6,0,corps,29.550953784269467,2.5065
1138,14,251,17.93,7.6,0,corps,29.511890952553593,1.3286
1139,10,174,17.40,5.8,0,corps,29.47290616842754,1.2491
1140,15,179,11.93,8.0,0,corps,29.43399927595212,2.0265
1141,3,77,25.67,2.7,0,corps,29.395170119499713,1.3341
1142,18,232,12.89,9.3,0,corps,29.35641854375366,1.8270
1143,7,70,10.00,4.4,0,corps,29.317744393707578,2.5453
1144,8,94,11.75,4.9,0,corps,29.27914751466483,1.7722
1145,13,151,11.62,7.1,0,corps,29.240627752237845,1.7208
1146,11,112,10.18,6.2,0,corps,29.202184952347533,2.0830
1147,5,89,17.80,3.6,0,corps,29.16381896122262,1.3374
1148,16,194,12.12,8.4,0,corps,29.125529625399118,3.4185
1149,9,144,16.00,5.3,0,corps,29.087316791719598,1.4019
1150,11,141,12.82,6.2,0,corps,29.049180307332712,1.9345
1151,6,70,11.67,4.0,0,corps,29.01112001969245,2.0993
1152,13,250,19.23,7.1,0,corps,28.973135776557612,1.3574
1153,3,28,9.33,2.7,0,corps,28.935227425991172,2.9967
1154,15,203,13.53,8.0,0,corps,28.8973948163597,1.3513
1155,10,241,24.10,5.8,0,corps,28.85963779633267,1.1727
1156,15,230,15.33,8.0,0,corps,28.82195621488199,2.0753
1157,20,229,11.45,10.2,0,corps,28.784349921281255,1.9123
1158,8,127,15.88,4.9,0,corps,28.746818765105253,1.7836
1159,20,276,13.80,10.2,0,corps,28.709362596229305,2.6655
1160,9,144,16.00,5.3,0,corps,28.671981264828695,1.6498
1161,10,150,15.00,5.8,0,corps,28.634674621378032,1.1587
1162,15,206,13.73,8.0,0,corps,28.597442516650705,1.6152
1163,7,121,17.29,4.4,0,corps,28.56028480171824,1.1207
1164,10,96,9.60,5.8,0,corps,28.52320132794973,2.0871
1165,8,104,13.00,4.9,0,corps,28.486191947011225,1.0809
1166,17,229,13.47,8.9,0,corps,28.449256510865162,3.1465
1167,16,330,20.62,8.4,0,corps,28.41239487176974,2.3744
1168,15,195,13.00,8.0,0,corps,28.37560688227836,1.8403
1169,13,221,17.00,7.1,0,corps,28.338892395238997,1.1744
1170,19,338,17.79,9.8,0,corps,28.302251263793675,2.3148
1171,2,31,15.50,2.2,0,corps,28.265683341377805,1.8141
1172,10,145,14.50,5.8,0,corps,28.229188481719667,1.4414
1173,9,135,15.00,5.3,0,corps,28.192766538839752,1.0816
1174,27,389,14.41,13.3,0,corps,28.156417367050256,1.3541
1175,7,63,9.00,4.4,0,corps,28.120140820954425,2.0113
1176,13,232,17.85,7.1,0,corps,28.083936755446047,1.2364
1177,7,113,16.14,4.4,0,corps,28.0478050257088,1.2528
1178,2,56,28.00,2.2,0,corps,28.011745487215723,0.6630
1179,9,205,22.78,5.3,0,corps,27.975757995728607,0.8745
1180,14,260,18.57,7.6,0,corps,27.939842407297444,2.5599
1181,8,124,15.50,4.9,0,corps,27.903998578259824,3.7399
1182,7,105,15.00,4.4,0,corps,27.8682263652404,1.2417
1183,6,103,17.17,4.0,0,corps,27.83252562515025,3.6330
1184,21,317,15.10,10.7,0,corps,27.79689621518639,2.0265
1185,23,234,10.17,11.6,0,corps,27.76133799283111,1.6840
1186,21,288,13.71,10.7,0,corps,27.725850815851487,1.4465
1187,5,83,16.60,3.6,0,corps,27.69043454229876,1.1541
1188,4,63,15.75,3.1,0,corps,27.65508903050779,1.3466
1189,11,206,18.73,6.2,0,corps,27.619814139096476,1.1792
1190,15,291,19.40,8.0,0,corps,27.584609726965226,1.0899
1191,11,227,20.64,6.2,0,corps,27.54947565329632,0.9552
1192,9,107,11.89,5.3,0,corps,27.514411777553427,4.8806
1193,7,112,16.00,4.4,0,corps,27.479417959480994,4.9416
1194,20,319,15.95,10.2,0,corps,27.444494059103715,1.4635
1195,2,25,12.50,2.2,0,corps,27.409639936725917,1.4244
1196,9,128,14.22,5.3,0,corps,27.37485545293109,3.5804
1197,8,142,17.75,4.9,0,corps,27.340140468581243,1.1750
1198,14,144,10.29,7.6,0,corps,27.305494844816387,1.4287
1199,6,91,15.17,4.0,0,corps,27.270918443053976,1.1762
1200,21,318,15.14,10.7,0,corps,27.23641112498838,1.5927
1201,4,94,23.50,3.1,0,corps,27.201972752590255,0.9801
1202,17,224,13.18,8.9,0,corps,27.16760318810608,3.1084
1203,17,243,14.29,8.9,0,corps,27.133302294057543,1.4032
1204,9,101,11.22,5.3,0,corps,27.099069933241033,5.0445
1205,20,284,14.20,10.2,0,corps,27.06490596872705,1.8802
1206,8,86,10.75,4.9,0,corps,27.0308102638597,1.7591
1207,15,274,18.27,8.0,0,corps,26.996782682256104,1.2170
1208,13,163,12.54,7.1,0,corps,26.96282308780591,3.3965
1209,24,352,14.67,12.0,0,corps,26.92893134467068,2.5158
1210,15,233,15.53,8.0,0,corps,26.895107317283408,1.4495
1211,10,118,11.80,5.8,0,corps,26.861350870347916,6.2404
1212,6,78,13.00,4.0,0,corps,26.827661868838405,1.9002
1213,6,65,10.83,4.0,0,corps,26.79404017799879,1.3733
1214,7,121,17.29,4.4,0,corps,26.760485663342294,1.1802
1215,14,228,16.29,7.6,0,corps,26.726998190650786,1.0790
1216,23,267,11.61,11.6,0,corps,26.693577625974353,2.4292
1217,10,102,10.20,5.8,0,corps,26.66022383563067,5.5824
1218,10,164,16.40,5.8,0,corps,26.62693668620455,1.5526
1219,10,138,13.80,5.8,0,corps,26.593716044547342,1.3462
1220,7,63,9.00,4.4,0,corps,26.56056177777645,1.6055
1221,18,266,14.78,9.3,0,corps,26.527473753274734,3.0026
1222,22,318,14.45,11.1,0,corps,26.494451838690075,1.7566
1223,17,410,24.12,8.9,0,corps,26.46149590193476,1.7148
1224,4,65,16.25,3.1,0,corps,26.428605811185,1.5596
