n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,2,94,47.00,2.2,0,corps,199.90202449591717,1.0721
2,2,568,284.00,2.2,0,corps,199.8040979673415,0.1734
3,0,445,445.00,1.3,0,famine_truncated,199.70622038979133,0.0041
4,2,733,366.50,2.2,0,corps,199.60839173879728,0.1387
5,2,377,188.50,2.2,0,corps,199.51061198990217,0.2728
6,2,123,61.50,2.2,0,corps,199.41288111866112,0.8195
7,1,508,508.00,1.8,0,famine_truncated,199.3151991006413,0.0732
8,2,481,240.50,2.2,0,corps,199.21756591142233,0.1945
9,2,169,84.50,2.2,0,corps,199.11998152659584,0.5698
10,2,522,261.00,2.2,0,corps,199.02244592176575,0.1854
11,0,445,445.00,1.3,0,famine_truncated,198.92495907254815,0.0054
12,2,475,237.50,2.2,0,corps,198.82752095457133,0.1787
13,2,215,107.50,2.2,0,corps,198.73013154347575,0.4309
14,0,445,445.00,1.3,0,famine_truncated,198.63279081491407,0.0038
15,2,434,217.00,2.2,0,corps,198.53549874455112,0.2091
16,1,457,457.00,1.8,0,famine_truncated,198.4382553080639,0.0819
17,2,466,233.00,2.2,0,corps,198.34106048114148,0.1834
18,2,352,176.00,2.2,0,corps,198.2439142394852,0.2328
19,2,284,142.00,2.2,0,corps,198.14681655880847,0.2811
20,2,294,147.00,2.2,0,corps,198.04976741483696,0.2560
21,2,387,193.50,2.2,0,corps,197.95276678330828,0.2705
22,2,405,202.50,2.2,0,corps,197.85581463997227,0.2496
23,2,215,107.50,2.2,0,corps,197.75891096059095,0.3348
24,2,298,149.00,2.2,0,corps,197.66205572093838,0.3321
25,0,445,445.00,1.3,0,famine_truncated,197.56524889680077,0.0138
26,0,445,445.00,1.3,0,famine_truncated,197.46849046397637,0.0065
27,2,669,334.50,2.2,0,corps,197.3717803982756,0.1434
28,2,224,112.00,2.2,0,corps,197.27511867552093,0.4144
29,2,381,190.50,2.2,0,corps,197.17850527154695,0.2447
30,0,445,445.00,1.3,0,famine_truncated,197.08194016220028,0.0165
31,2,346,173.00,2.2,0,corps,196.98542332333966,0.2398
32,2,367,183.50,2.2,0,corps,196.8889547308359,0.2231
33,2,546,273.00,2.2,0,corps,196.79253436057178,0.1506
34,2,673,336.50,2.2,0,corps,196.6961621884423,0.1154
35,2,197,98.50,2.2,0,corps,196.59983819035435,0.3054
36,0,445,445.00,1.3,0,famine_truncated,196.50356234222696,0.0147
37,2,391,195.50,2.2,0,corps,196.4073346199911,0.1649
38,2,481,240.50,2.2,0,corps,196.31115499958997,0.1869
39,2,445,222.50,2.2,0,corps,196.21502345697857,0.1674
40,0,445,445.00,1.3,0,famine_truncated,196.11893996812404,0.0150
41,2,248,124.00,2.2,0,corps,196.0229045090055,0.2774
42,1,884,884.00,1.8,0,famine_truncated,195.92691705561407,0.0528
43,2,226,113.00,2.2,0,corps,195.83097758395294,0.3466
44,2,532,266.00,2.2,0,corps,195.73508607003717,0.1316
45,2,304,152.00,2.2,0,corps,195.63924248989392,0.2472
46,2,443,221.50,2.2,0,corps,195.5434468195623,0.1325
47,0,445,445.00,1.3,0,famine_truncated,195.4476990350934,0.0167
48,2,287,143.50,2.2,0,corps,195.3519991125502,0.2586
49,2,75,37.50,2.2,0,corps,195.25634702800784,0.7850
50,2,457,228.50,2.2,0,corps,195.1607427575532,0.1937
51,2,198,99.00,2.2,0,corps,195.06518627728525,0.2648
52,0,445,445.00,1.3,0,famine_truncated,194.96967756331486,0.0252
53,1,646,646.00,1.8,0,famine_truncated,194.87421659176488,0.0564
54,2,290,145.00,2.2,0,corps,194.77880333877,0.2323
55,1,539,539.00,1.8,0,famine_truncated,194.683437780477,0.0776
56,2,48,24.00,2.2,0,corps,194.5881198930444,1.0625
57,3,299,99.67,2.7,0,corps,194.49284965264278,0.3327
58,1,517,517.00,1.8,0,famine_truncated,194.39762703545455,0.0749
59,0,445,445.00,1.3,0,famine_truncated,194.30245201767406,0.0162
60,1,582,582.00,1.8,0,famine_truncated,194.2073245755076,0.0582
61,2,549,274.50,2.2,0,corps,194.11224468517327,0.1134
62,0,445,445.00,1.3,0,famine_truncated,194.0172123229011,0.0265
63,1,542,542.00,1.8,0,famine_truncated,193.92222746493297,0.0745
64,2,580,290.00,2.2,0,corps,193.82729008752273,0.1126
65,1,533,533.00,1.8,0,famine_truncated,193.73240016693597,0.0721
66,3,364,121.33,2.7,0,corps,193.63755767945028,0.2549
67,2,333,166.50,2.2,0,corps,193.54276260135498,0.1978
68,2,381,190.50,2.2,0,corps,193.44801490895128,0.1902
69,0,445,445.00,1.3,0,famine_truncated,193.35331457855233,0.0282
70,2,743,371.50,2.2,0,corps,193.25866158648302,0.1001
71,1,528,528.00,1.8,0,famine_truncated,193.1640559090801,0.0864
72,2,297,148.50,2.2,0,corps,193.0694975226921,0.2682
73,2,139,69.50,2.2,0,corps,192.9749864036795,0.3979
74,2,547,273.50,2.2,0,corps,192.88052252841447,0.1430
75,2,211,105.50,2.2,0,corps,192.78610587328106,0.2834
76,2,219,109.50,2.2,0,corps,192.6917364146751,0.2893
77,2,444,222.00,2.2,0,corps,192.59741412900425,0.1387
78,2,197,98.50,2.2,0,corps,192.50313899268787,0.3036
79,2,155,77.50,2.2,0,corps,192.40891098215724,0.4422
80,0,445,445.00,1.3,0,famine_truncated,192.31473007385534,0.0283
81,3,470,156.67,2.7,0,corps,192.22059624423696,0.2323
