n,score,steps,pas_pomme,cause,temps_jeu_s,sec_par_pomme,temps_cpu_ms
1,68,819,12.04,corps,163.8,2.41,64.3
2,92,1220,13.26,corps,244.0,2.65,114.5
3,88,1261,14.33,corps,252.2,2.87,126.6
4,66,809,12.26,corps,161.8,2.45,64.8
5,99,1547,15.63,corps,309.4,3.13,150.5
6,78,1069,13.71,corps,213.8,2.74,94.7
7,77,1101,14.30,corps,220.2,2.86,101.6
8,94,1346,14.32,corps,269.2,2.86,128.1
9,83,1151,13.87,corps,230.2,2.77,107.7
10,64,676,10.56,corps,135.2,2.11,48.3
11,76,1001,13.17,corps,200.2,2.63,87.0
12,85,1223,14.39,corps,244.6,2.88,119.7
13,93,1340,14.41,corps,268.0,2.88,131.9
14,93,1253,13.47,corps,250.6,2.69,122.3
15,35,326,9.31,corps,65.2,1.86,16.4
16,100,1466,14.66,corps,293.2,2.93,152.4
17,79,1074,13.59,corps,214.8,2.72,98.6
18,111,1526,13.75,corps,305.2,2.75,152.8
19,78,1064,13.64,corps,212.8,2.73,92.8
20,87,1192,13.70,corps,238.4,2.74,115.7
21,85,892,10.49,corps,178.4,2.10,77.5
22,116,1590,13.71,corps,318.0,2.74,161.6
23,104,1457,14.01,corps,291.4,2.80,141.5
24,98,1374,14.02,corps,274.8,2.80,133.3
25,102,1260,12.35,corps,252.0,2.47,126.8
26,82,1066,13.00,corps,213.2,2.60,97.6
27,85,1221,14.36,corps,244.2,2.87,113.8
28,91,1510,16.59,corps,302.0,3.32,145.0
29,91,1266,13.91,corps,253.2,2.78,123.2
30,107,1595,14.91,corps,319.0,2.98,161.4
31,82,1100,13.41,corps,220.0,2.68,103.9
32,81,1143,14.11,corps,228.6,2.82,106.1
33,88,1139,12.94,corps,227.8,2.59,110.3
34,100,1423,14.23,corps,284.6,2.85,139.2
35,80,1110,13.88,corps,222.0,2.77,105.1
36,74,1013,13.69,corps,202.6,2.74,87.1
37,93,1109,11.92,corps,221.8,2.38,110.5
38,73,1152,15.78,corps,230.4,3.16,102.9
39,93,1231,13.24,corps,246.2,2.65,118.6
40,72,1022,14.19,corps,204.4,2.84,83.4
41,115,1860,16.17,corps,372.0,3.23,186.0
42,79,1014,12.84,corps,202.8,2.57,91.8
43,87,1178,13.54,corps,235.6,2.71,118.8
44,64,812,12.69,corps,162.4,2.54,58.8
45,75,959,12.79,corps,191.8,2.56,82.7
46,84,1223,14.56,corps,244.6,2.91,116.0
47,98,1320,13.47,corps,264.0,2.69,128.3
48,97,1635,16.86,corps,327.0,3.37,167.9
49,91,1278,14.04,corps,255.6,2.81,121.3
50,68,924,13.59,corps,184.8,2.72,71.7
