[50/20000] score=1 steps=546 cause=famine_truncated eps=195.1607427575532
[5050/20000] score=17 steps=243 cause=corps eps=19.69142930619723
[5100/20000] score=8 steps=126 cause=corps eps=19.30400653622602
[5150/20000] score=14 steps=195 cause=corps eps=18.926149268527624
[5200/20000] score=13 steps=156 cause=corps eps=18.55762133000944
[5250/20000] score=21 steps=318 cause=corps eps=18.198192378713284
[5300/20000] score=10 steps=134 cause=corps eps=17.8476377598442
[5350/20000] score=22 steps=297 cause=corps eps=17.505738365353867
[5400/20000] score=12 steps=166 cause=corps eps=17.17228049699095
[5450/20000] score=26 steps=356 cause=corps eps=16.84705573273277
[5500/20000] score=14 steps=121 cause=corps eps=16.529860796514683
[5550/20000] score=25 steps=247 cause=corps eps=16.220497431175993
[5600/20000] score=18 steps=260 cause=corps eps=15.918772274542722
[5650/20000] score=22 steps=290 cause=corps eps=15.62449673856999
[5700/20000] score=11 steps=134 cause=corps eps=15.337486891468338
[5750/20000] score=20 steps=309 cause=corps eps=15.05756334274036
[5800/20000] score=15 steps=190 cause=corps eps=14.784551131055817
[5850/20000] score=13 steps=168 cause=corps eps=14.518279614895107
[5900/20000] score=17 steps=229 cause=corps eps=14.258582365892746
[5950/20000] score=5 steps=72 cause=corps eps=14.005297064814263
[6000/20000] score=20 steps=282 cause=corps eps=13.758265400101333
[6050/20000] score=31 steps=416 cause=corps eps=13.517332968921956
[6100/20000] score=24 steps=309 cause=corps eps=13.282349180663623
[6150/20000] score=21 steps=342 cause=corps eps=13.0531671628093
[6200/20000] score=16 steps=180 cause=corps eps=12.829643669137328
[6250/20000] score=2 steps=34 cause=corps eps=12.611638990187855
