[50/20000] score=0 steps=445 cause=famine_truncated eps=195.1607427575532
[3950/20000] score=15 steps=157 cause=corps eps=31.197217199619224
[4000/20000] score=8 steps=59 cause=corps eps=30.52571551437609
[4050/20000] score=20 steps=222 cause=corps eps=29.870793264814722
[4100/20000] score=13 steps=112 cause=corps eps=29.232041103209628
[4150/20000] score=13 steps=118 cause=corps eps=28.609059788666652
[4200/20000] score=25 steps=226 cause=corps eps=28.00145993758445
[4250/20000] score=18 steps=182 cause=corps eps=27.408861780277043
[4300/20000] score=29 steps=289 cause=corps eps=26.830894923605403
[4350/20000] score=32 steps=336 cause=corps eps=26.267198119469697
[4400/20000] score=14 steps=150 cause=corps eps=25.717419039017436
[4450/20000] score=11 steps=120 cause=corps eps=25.181214052426533
[4500/20000] score=26 steps=275 cause=corps eps=24.65824801412541
[4550/20000] score=4 steps=35 cause=corps eps=24.148194053316136
[4600/20000] score=30 steps=304 cause=corps eps=23.650733369669535
[4650/20000] score=33 steps=357 cause=corps eps=23.165555034064607
[4700/20000] score=29 steps=313 cause=corps eps=22.692355794247725
[4750/20000] score=2 steps=21 cause=corps eps=22.230839885290045
[4800/20000] score=31 steps=296 cause=corps eps=21.780718844724852
[4850/20000] score=19 steps=214 cause=corps eps=21.341711332249112
[4900/20000] score=4 steps=33 cause=corps eps=20.913542953876618
[4950/20000] score=11 steps=90 cause=corps eps=20.49594609043283
[5000/20000] score=23 steps=257 cause=corps eps=20.088659730284164
[5050/20000] score=26 steps=296 cause=corps eps=19.69142930619723
[5100/20000] score=27 steps=261 cause=corps eps=19.30400653622602
[5150/20000] score=7 steps=45 cause=corps eps=18.926149268527624
[5200/20000] score=31 steps=324 cause=corps eps=18.55762133000944
[5250/20000] score=19 steps=199 cause=corps eps=18.198192378713284
[5300/20000] score=15 steps=136 cause=corps eps=17.8476377598442
[5350/20000] score=26 steps=301 cause=corps eps=17.505738365353867
[5400/20000] score=30 steps=363 cause=corps eps=17.17228049699095
[5450/20000] score=33 steps=324 cause=corps eps=16.84705573273277
[5500/20000] score=12 steps=105 cause=corps eps=16.529860796514683
[5550/20000] score=16 steps=161 cause=corps eps=16.220497431175993
[5600/20000] score=27 steps=239 cause=corps eps=15.918772274542722
[5650/20000] score=11 steps=131 cause=corps eps=15.62449673856999
[5700/20000] score=32 steps=327 cause=corps eps=15.337486891468338
[5750/20000] score=16 steps=148 cause=corps eps=15.05756334274036
[5800/20000] score=7 steps=64 cause=corps eps=14.784551131055817
[5850/20000] score=29 steps=335 cause=corps eps=14.518279614895107
[5900/20000] score=23 steps=217 cause=corps eps=14.258582365892746
[5950/20000] score=26 steps=225 cause=corps eps=14.005297064814263
[6000/20000] score=30 steps=296 cause=corps eps=13.758265400101333
[6050/20000] score=15 steps=131 cause=corps eps=13.517332968921956
[6100/20000] score=66 steps=711 cause=corps eps=13.282349180663623
[6150/20000] score=40 steps=464 cause=corps eps=13.0531671628093
[6200/20000] score=37 steps=404 cause=corps eps=12.829643669137328
[6250/20000] score=32 steps=321 cause=corps eps=12.611638990187855
[6300/20000] score=34 steps=251 cause=corps eps=12.399016865939878
[6350/20000] score=25 steps=308 cause=corps eps=12.191644400644302
[6400/20000] score=34 steps=334 cause=corps eps=11.989391979759779
[6450/20000] score=28 steps=280 cause=corps eps=11.792133188939374
[6500/20000] score=22 steps=210 cause=corps eps=11.599744735017515
[6550/20000] score=12 steps=104 cause=corps eps=11.412106368947716
[6600/20000] score=36 steps=366 cause=corps eps=11.229100810643041
[6650/20000] score=26 steps=220 cause=corps eps=11.050613675672214
[6700/20000] score=22 steps=195 cause=corps eps=10.876533403765626
[6750/20000] score=39 steps=344 cause=corps eps=10.70675118908654
[6800/20000] score=21 steps=219 cause=corps eps=10.541160912223912
[6850/20000] score=9 steps=80 cause=corps eps=10.379659073864273
[6900/20000] score=2 steps=19 cause=corps eps=10.222144730101315
[6950/20000] score=29 steps=260 cause=corps eps=10.068519429342668
[7000/20000] score=34 steps=412 cause=corps eps=9.918687150774426
[7050/20000] score=55 steps=699 cause=corps eps=9.772554244345029
[7100/20000] score=37 steps=368 cause=corps eps=9.63002937223093
[7150/20000] score=47 steps=534 cause=corps eps=9.491023451747473
[7200/20000] score=44 steps=436 cause=corps eps=9.355449599669342
[7250/20000] score=35 steps=347 cause=corps eps=9.223223077925674
[7300/20000] score=23 steps=224 cause=corps eps=9.094261240636047
[7350/20000] score=35 steps=291 cause=corps eps=8.96848348245409
[7400/20000] score=28 steps=276 cause=corps eps=8.84581118818652
[7450/20000] score=22 steps=255 cause=corps eps=8.726167683656104
[7500/20000] score=29 steps=284 cause=corps eps=8.609478187777786
[7550/20000] score=31 steps=273 cause=corps eps=8.49566976581807
[7600/20000] score=34 steps=294 cause=corps eps=8.384671283808458
[7650/20000] score=32 steps=354 cause=corps eps=8.276413364084382
[7700/20000] score=28 steps=311 cause=corps eps=8.170828341921926
[7750/20000] score=18 steps=135 cause=corps eps=8.067850223245149
[7800/20000] score=40 steps=457 cause=corps eps=7.96741464337766
[7850/20000] score=39 steps=363 cause=corps eps=7.869458826812585
[7900/20000] score=38 steps=355 cause=corps eps=7.773921547975837
[7950/20000] score=15 steps=152 cause=corps eps=7.680743092958142
[8000/20000] score=24 steps=212 cause=corps eps=7.589865222191899
[8050/20000] score=31 steps=301 cause=corps eps=7.501231134049551
[8100/20000] score=27 steps=245 cause=corps eps=7.4147854293407285
[8150/20000] score=25 steps=228 cause=corps eps=7.330474076685936
[8200/20000] score=25 steps=254 cause=corps eps=7.2482443787452056
[8250/20000] score=39 steps=424 cause=corps eps=7.168044939280511
[8300/20000] score=33 steps=305 cause=corps eps=7.08982563103148
[8350/20000] score=37 steps=420 cause=corps eps=7.013537564384201
[8400/20000] score=33 steps=288 cause=corps eps=6.93913305681363
[8450/20000] score=13 steps=115 cause=corps eps=6.866565603080469
[8500/20000] score=41 steps=384 cause=corps eps=6.795789846163855
[8550/20000] score=50 steps=501 cause=corps eps=6.726761548911774
[8600/20000] score=46 steps=431 cause=corps eps=6.659437566391382
[8650/20000] score=31 steps=322 cause=corps eps=6.593775818922023
[8700/20000] score=49 steps=550 cause=corps eps=6.529735265774056
[8750/20000] score=27 steps=235 cause=corps eps=6.4672758795170635
[8800/20000] score=55 steps=559 cause=corps eps=6.406358621001414
[8850/20000] score=24 steps=204 cause=corps eps=6.34694541495751
[8900/20000] score=45 steps=453 cause=corps eps=6.288999126197506
[8950/20000] score=28 steps=323 cause=corps eps=6.232483536404622
[9000/20000] score=55 steps=524 cause=corps eps=6.177363321495492
[9050/20000] score=40 steps=361 cause=corps eps=6.123604029541486
[9100/20000] score=42 steps=445 cause=corps eps=6.071172059235121
[9150/20000] score=42 steps=407 cause=corps eps=6.020034638888146
[9200/20000] score=30 steps=317 cause=corps eps=5.9701598059481835
[9250/20000] score=17 steps=141 cause=corps eps=5.921516387021078
[9300/20000] score=18 steps=175 cause=corps eps=5.874073978386527
[9350/20000] score=40 steps=441 cause=corps eps=5.827802926994751
[9400/20000] score=48 steps=594 cause=corps eps=5.7826743119323805
[9450/20000] score=79 steps=1062 cause=corps eps=5.738659926345939
[9500/20000] score=51 steps=575 cause=corps eps=5.695732259811645
[9550/20000] score=30 steps=328 cause=corps eps=5.653864481140499
[9600/20000] score=24 steps=180 cause=corps eps=5.613030421607926
[9650/20000] score=16 steps=140 cause=corps eps=5.57320455859745
[9700/20000] score=14 steps=129 cause=corps eps=5.534361999648252
[9750/20000] score=44 steps=455 cause=corps eps=5.496478466896552
[9800/20000] score=21 steps=174 cause=corps eps=5.45953028190117
[9850/20000] score=25 steps=245 cause=corps eps=5.423494350843719
[9900/20000] score=21 steps=161 cause=corps eps=5.388348150094215
[9950/20000] score=20 steps=142 cause=corps eps=5.3540697121330885
[10000/20000] score=64 steps=696 cause=corps eps=5.320637611820751
[10050/20000] score=18 steps=131 cause=corps eps=5.288030953006205
[10100/20000] score=46 steps=489 cause=corps eps=5.256229355466251
[10150/20000] score=74 steps=956 cause=corps eps=5.2252129421671984
[10200/20000] score=39 steps=363 cause=corps eps=5.194962326841066
[10250/20000] score=43 steps=491 cause=corps eps=5.16545860186853
[10300/20000] score=57 steps=583 cause=corps eps=5.13668332646106
[10350/20000] score=56 steps=658 cause=corps eps=5.108618515134809
[10400/20000] score=35 steps=346 cause=corps eps=5.081246626469111
[10450/20000] score=35 steps=352 cause=corps eps=5.054550552142521
[10500/20000] score=43 steps=476 cause=corps eps=5.028513606239551
[10550/20000] score=47 steps=458 cause=corps eps=5.00311951482144
[10600/20000] score=41 steps=352 cause=corps eps=4.978352405754403
[10650/20000] score=73 steps=801 cause=corps eps=4.954196798789034
[10700/20000] score=32 steps=351 cause=corps eps=4.930637595884649
[10750/20000] score=64 steps=739 cause=corps eps=4.907660071772516
[10800/20000] score=82 steps=1001 cause=corps eps=4.885249864752082
[10850/20000] score=36 steps=343 cause=corps eps=4.863392967714448
[10900/20000] score=38 steps=329 cause=corps eps=4.842075719387458
[10950/20000] score=36 steps=340 cause=corps eps=4.821284795796978
[11000/20000] score=68 steps=883 cause=corps eps=4.801007201938957
[11050/20000] score=9 steps=81 cause=corps eps=4.781230263657145
[11100/20000] score=51 steps=526 cause=corps eps=4.761941619721322
[11150/20000] score=66 steps=862 cause=corps eps=4.743129214101128
[11200/20000] score=46 steps=496 cause=corps eps=4.724781288430655
[11250/20000] score=45 steps=450 cause=corps eps=4.706886374659083
[11300/20000] score=45 steps=503 cause=corps eps=4.689433287882777
[11350/20000] score=34 steps=299 cause=corps eps=4.672411119354356
[11400/20000] score=18 steps=140 cause=corps eps=4.655809229664369
[11450/20000] score=52 steps=507 cause=corps eps=4.639617242091325
[11500/20000] score=25 steps=193 cause=corps eps=4.623825036115894
[11550/20000] score=38 steps=324 cause=corps eps=4.608422741095264
[11600/20000] score=54 steps=614 cause=corps eps=4.59340073009366
[11650/20000] score=56 steps=550 cause=corps eps=4.578749613865195
[11700/20000] score=64 steps=666 cause=corps eps=4.564460234985296
[11750/20000] score=12 steps=94 cause=corps eps=4.550523662127
[11800/20000] score=7 steps=83 cause=corps eps=4.5369311844786
[11850/20000] score=27 steps=269 cause=corps eps=4.5236743062990925
[11900/20000] score=57 steps=665 cause=corps eps=4.5107447416080655
[11950/20000] score=34 steps=347 cause=corps eps=4.498134409006696
[12000/20000] score=26 steps=221 cause=corps eps=4.485835426626606
[12050/20000] score=64 steps=696 cause=corps eps=4.4738401072034435
[12100/20000] score=59 steps=720 cause=corps eps=4.462140953272085
[12150/20000] score=29 steps=302 cause=corps eps=4.4507306524804875
[12200/20000] score=28 steps=297 cause=corps eps=4.439602073019218
[12250/20000] score=79 steps=1066 cause=corps eps=4.428748259163846
[12300/20000] score=65 steps=687 cause=corps eps=4.418162426927391
[12350/20000] score=35 steps=318 cause=corps eps=4.407837959820108
[12400/20000] score=56 steps=560 cause=corps eps=4.397768404713965
