n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
696,3,128,42.67,2.7,0,corps,142.39537973801936,1.0241
697,2,45,22.50,2.2,0,corps,142.32619934468994,0.8430
698,4,133,33.25,3.1,0,corps,142.25705353291107,0.8224
699,4,80,20.00,3.1,0,corps,142.1879422853963,1.0875
700,3,152,50.67,2.7,0,corps,142.11886558486785,0.9124
701,3,68,22.67,2.7,0,corps,142.0498234140565,1.0907
702,2,100,50.00,2.2,0,corps,141.9808157557017,0.8628
703,3,127,42.33,2.7,0,corps,141.91184259255158,0.7878
704,2,103,51.50,2.2,0,corps,141.84290390736282,0.6669
705,2,36,18.00,2.2,0,corps,141.77399968290075,1.6731
706,2,68,34.00,2.2,0,corps,141.70512990193936,0.5813
707,2,103,51.50,2.2,0,corps,141.6362945472611,0.6577
708,4,128,32.00,3.1,0,corps,141.56749360165725,2.3317
709,3,43,14.33,2.7,0,corps,141.49872704792747,0.9257
710,2,49,24.50,2.2,0,corps,141.4299948688802,0.7527
711,2,49,24.50,2.2,0,corps,141.36129704733233,0.9353
712,2,51,25.50,2.2,0,corps,141.29263356610946,0.5923
713,2,42,21.00,2.2,0,corps,141.2240044080457,1.4491
714,3,118,39.33,2.7,0,corps,141.15540955598377,0.6572
715,2,110,55.00,2.2,0,corps,141.08684899277492,0.6754
716,2,69,34.50,2.2,0,corps,141.01832270127903,0.6021
717,2,87,43.50,2.2,0,corps,140.94983066436455,0.6637
718,3,206,68.67,2.7,0,corps,140.88137286490843,0.5525
719,3,214,71.33,2.7,0,corps,140.81294928579624,0.8607
720,4,201,50.25,3.1,0,corps,140.74455990992206,0.6499
721,2,153,76.50,2.2,0,corps,140.67620472018865,0.6801
722,2,73,36.50,2.2,0,corps,140.60788369950706,0.9333
723,3,92,30.67,2.7,0,corps,140.5395968307971,1.0297
724,4,117,29.25,3.1,0,corps,140.4713440969871,1.1734
725,2,55,27.50,2.2,0,corps,140.40312548101383,1.0966
726,2,55,27.50,2.2,0,corps,140.33494096582265,0.6659
727,3,105,35.00,2.7,0,corps,140.26679053436737,1.2131
728,3,77,25.67,2.7,0,corps,140.19867416961048,1.0223
729,3,116,38.67,2.7,0,corps,140.13059185452283,1.1121
730,2,89,44.50,2.2,0,corps,140.06254357208385,0.9381
731,4,106,26.50,3.1,0,corps,139.9945293052815,1.4156
732,2,73,36.50,2.2,0,corps,139.92654903711215,1.0964
733,2,50,25.00,2.2,0,corps,139.8586027505808,1.6141
734,2,66,33.00,2.2,0,corps,139.79069042870077,0.7372
735,2,46,23.00,2.2,0,corps,139.7228120544941,1.0890
736,2,99,49.50,2.2,0,corps,139.65496761099118,0.9416
737,2,23,11.50,2.2,0,corps,139.58715708123083,1.3902
738,2,70,35.00,2.2,0,corps,139.51938044826048,1.3860
739,2,54,27.00,2.2,0,corps,139.4516376951359,1.1120
740,2,127,63.50,2.2,0,corps,139.3839288049215,0.7322
741,2,113,56.50,2.2,0,corps,139.31625376069002,0.6974
742,3,33,11.00,2.7,0,corps,139.24861254552266,1.5946
743,3,49,16.33,2.7,0,corps,139.18100514250912,1.1899
744,2,104,52.00,2.2,0,corps,139.1134315347476,0.9441
745,3,178,59.33,2.7,0,corps,139.04589170534464,0.9272
746,3,98,32.67,2.7,0,corps,138.97838563741533,1.4648
747,3,90,30.00,2.7,0,corps,138.91091331408313,0.9773
748,2,63,31.50,2.2,0,corps,138.84347471847997,1.1407
749,2,108,54.00,2.2,0,corps,138.77606983374616,0.9006
750,2,68,34.00,2.2,0,corps,138.70869864303057,0.6099
751,2,108,54.00,2.2,0,corps,138.6413611294903,0.9492
752,2,140,70.00,2.2,0,corps,138.574057276291,0.8444
753,4,116,29.00,3.1,0,corps,138.50678706660673,3.5409
754,4,106,26.50,3.1,0,corps,138.43955048361997,3.8869
755,2,150,75.00,2.2,0,corps,138.37234751052148,0.8291
756,2,75,37.50,2.2,0,corps,138.30517813051057,0.9898
757,2,71,35.50,2.2,0,corps,138.2380423267949,0.9585
758,2,271,135.50,2.2,0,corps,138.17094008259053,0.7217
759,2,76,38.00,2.2,0,corps,138.10387138112188,1.1207
760,2,124,62.00,2.2,0,corps,138.03683620562174,0.6779
761,3,62,20.67,2.7,0,corps,137.96983453933137,2.3425
762,2,54,27.00,2.2,0,corps,137.90286636550033,0.8032
763,4,133,33.25,3.1,0,corps,137.8359316673866,0.9982
764,3,194,64.67,2.7,0,corps,137.76903042825646,0.6744
765,2,101,50.50,2.2,0,corps,137.70216263138465,1.1333
766,2,61,30.50,2.2,0,corps,137.63532826005417,1.2114
767,2,40,20.00,2.2,0,corps,137.56852729755644,1.3506
768,2,50,25.00,2.2,0,corps,137.50175972719123,0.6751
769,2,175,87.50,2.2,0,corps,137.43502553226668,0.5762
770,5,109,21.80,3.6,0,corps,137.3683246960992,1.8389
771,2,77,38.50,2.2,0,corps,137.30165720201356,0.9068
772,2,101,50.50,2.2,0,corps,137.2350230333429,0.7984
773,2,45,22.50,2.2,0,corps,137.16842217342875,0.7764
774,2,59,29.50,2.2,0,corps,137.10185460562082,0.9601
775,3,73,24.33,2.7,0,corps,137.0353203132772,1.0746
776,4,71,17.75,3.1,0,corps,136.96881927976438,1.3305
777,2,56,28.00,2.2,0,corps,136.9023514884571,0.8079
778,2,68,34.00,2.2,0,corps,136.83591692273833,0.8842
779,2,180,90.00,2.2,0,corps,136.7695155659995,0.7170
780,2,46,23.00,2.2,0,corps,136.70314740164028,0.7744
781,4,101,25.25,3.1,0,corps,136.63681241306858,1.1272
782,3,94,31.33,2.7,0,corps,136.57051058370067,0.8900
783,3,52,17.33,2.7,0,corps,136.5042418969611,1.2280
784,2,125,62.50,2.2,0,corps,136.43800633628268,0.8586
785,2,54,27.00,2.2,0,corps,136.37180388510657,0.9451
786,2,69,34.50,2.2,0,corps,136.3056345268821,0.9129
787,2,93,46.50,2.2,0,corps,136.23949824506695,0.6040
788,2,86,43.00,2.2,0,corps,136.17339502312706,0.7121
789,6,172,28.67,4.0,0,corps,136.1073248445366,1.0870
790,2,50,25.00,2.2,0,corps,136.04128769277807,0.7008
791,2,85,42.50,2.2,0,corps,135.97528355134213,0.7516
792,2,85,42.50,2.2,0,corps,135.9093124037277,0.5415
793,2,134,67.00,2.2,0,corps,135.84337423344215,0.5168
794,3,99,33.00,2.7,0,corps,135.7774690240008,0.8596
795,2,78,39.00,2.2,0,corps,135.71159675892744,0.3532
796,2,66,33.00,2.2,0,corps,135.6457574217539,0.7701
797,2,108,54.00,2.2,0,corps,135.57995099602041,0.6959
798,4,232,58.00,3.1,0,corps,135.5141774652754,0.7782
799,4,111,27.75,3.1,0,corps,135.4484368130754,0.9413
800,2,35,17.50,2.2,0,corps,135.3827290229853,1.4349
801,6,145,24.17,4.0,0,corps,135.31705407857814,0.9296
802,4,156,39.00,3.1,0,corps,135.25141196343517,0.8223
803,2,78,39.00,2.2,0,corps,135.18580266114589,0.8118
804,4,118,29.50,3.1,0,corps,135.12022615530796,1.1342
805,3,102,34.00,2.7,0,corps,135.05468242952725,0.6134
806,4,202,50.50,3.1,0,corps,134.98917146741783,0.8028
807,2,129,64.50,2.2,0,corps,134.92369325260196,0.5804
808,4,113,28.25,3.1,0,corps,134.85824776871007,1.0134
809,2,65,32.50,2.2,0,corps,134.7928349993808,0.5446
810,2,106,53.00,2.2,0,corps,134.72745492826098,0.5220
811,2,129,64.50,2.2,0,corps,134.66210753900558,0.6420
812,2,54,27.00,2.2,0,corps,134.59679281527772,0.8117
