n,score,steps,pas_pomme,cause,temps_jeu_s,sec_par_pomme,temps_cpu_ms
1,43,496,11.53,corps,99.2,2.31,17.8
2,26,221,8.50,corps,44.2,1.70,6.7
3,19,150,7.89,corps,30.0,1.58,5.5
4,11,92,8.36,corps,18.4,1.67,2.3
5,32,301,9.41,corps,60.2,1.88,8.2
6,50,516,10.32,corps,103.2,2.06,17.4
7,39,426,10.92,corps,85.2,2.18,16.9
8,72,883,12.26,corps,176.6,2.45,29.5
9,30,260,8.67,corps,52.0,1.73,6.8
10,25,207,8.28,corps,41.4,1.66,6.0
11,22,182,8.27,corps,36.4,1.65,5.1
12,53,491,9.26,corps,98.2,1.85,15.5
13,44,476,10.82,corps,95.2,2.16,14.4
14,28,259,9.25,corps,51.8,1.85,7.0
15,39,386,9.90,corps,77.2,1.98,11.8
16,18,140,7.78,corps,28.0,1.56,4.0
17,28,237,8.46,corps,47.4,1.69,6.3
18,21,156,7.43,corps,31.2,1.49,4.2
19,33,302,9.15,corps,60.4,1.83,11.1
20,20,197,9.85,corps,39.4,1.97,4.8
21,21,228,10.86,corps,45.6,2.17,5.3
22,29,256,8.83,corps,51.2,1.77,7.8
23,38,436,11.47,corps,87.2,2.29,13.0
24,21,190,9.05,corps,38.0,1.81,7.2
25,16,176,11.00,corps,35.2,2.20,5.6
26,19,161,8.47,corps,32.2,1.69,4.5
27,17,175,10.29,corps,35.0,2.06,4.7
28,37,365,9.86,corps,73.0,1.97,13.9
29,32,268,8.38,corps,53.6,1.68,11.7
30,20,163,8.15,corps,32.6,1.63,5.1
