cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
reconstruit,0.05,1026,True,223,7684,victoire,1.0,81,0.05333333333333334,81,1,0,93,91,30,4.06
reconstruit,0.05,1027,True,223,6791,victoire,1.0,68,0.05333333333333334,68,1,0,98,100,16,2.93
reconstruit,0.05,1028,True,223,6585,victoire,1.0,82,0.05333333333333334,82,1,0,109,87,18,3.0
reconstruit,0.05,1029,True,223,7204,victoire,1.0,73,0.05333333333333334,73,1,0,90,115,9,2.51
reconstruit,0.1,1000,True,223,7060,victoire,1.0,189,0.10222222222222223,193,5,0,81,101,21,3.43
reconstruit,0.1,1001,True,223,7075,victoire,1.0,168,0.10222222222222223,173,6,0,86,103,14,2.72
reconstruit,0.1,1002,True,223,6515,victoire,1.0,152,0.10222222222222223,156,5,0,94,100,9,2.27
reconstruit,0.1,1003,True,223,6101,victoire,1.0,144,0.10222222222222223,144,1,0,85,107,10,2.78
reconstruit,0.1,1004,True,223,7230,victoire,1.0,141,0.10222222222222223,142,2,0,87,100,16,2.83
reconstruit,0.1,1005,True,223,6388,victoire,1.0,149,0.10222222222222223,153,5,0,91,103,8,2.26
reconstruit,0.1,1006,True,223,6762,victoire,1.0,183,0.10222222222222223,183,1,0,102,87,14,2.95
reconstruit,0.1,1007,True,223,6698,victoire,1.0,171,0.10222222222222223,172,2,0,87,106,10,2.83
reconstruit,0.1,1008,True,223,6767,victoire,1.0,143,0.10222222222222223,149,7,0,91,97,15,2.97
reconstruit,0.1,1009,True,223,6085,victoire,1.0,143,0.10222222222222223,143,1,0,96,107,0,1.85
reconstruit,0.1,1010,True,223,6287,victoire,1.0,145,0.10222222222222223,149,5,0,86,101,16,2.81
reconstruit,0.1,1011,True,223,6276,victoire,1.0,138,0.10222222222222223,143,6,0,76,114,13,3.42
reconstruit,0.1,1012,True,223,7054,victoire,1.0,182,0.10222222222222223,182,1,0,81,98,24,3.93
reconstruit,0.1,1013,True,223,7334,victoire,1.0,154,0.10222222222222223,159,6,0,71,110,22,3.64
reconstruit,0.1,1014,True,223,6466,victoire,1.0,149,0.10222222222222223,154,6,0,95,97,11,3.04
reconstruit,0.1,1015,True,223,7280,victoire,1.0,146,0.10222222222222223,147,2,0,90,104,9,2.62
reconstruit,0.1,1016,True,223,6881,victoire,1.0,153,0.10222222222222223,154,2,0,86,99,18,3.23
reconstruit,0.1,1017,True,223,7509,victoire,1.0,149,0.10222222222222223,149,1,0,83,87,33,4.38
reconstruit,0.1,1018,True,223,7598,victoire,1.0,159,0.10222222222222223,163,5,0,104,79,20,3.51
reconstruit,0.1,1019,True,223,6285,victoire,1.0,151,0.10222222222222223,151,1,0,104,89,10,2.73
reconstruit,0.1,1020,True,223,5765,victoire,1.0,179,0.10222222222222223,180,2,0,88,100,15,2.62
