cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,switch_by,secours,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
temporel,0.4,1023,True,223,6634,victoire,1.0,990,0.4,seuil,4,990,0,0,90,42,7,5.26
temporel,0.4,1024,True,223,5441,victoire,1.0,880,0.4,seuil,2,880,0,0,93,36,9,4.71
temporel,0.4,1025,True,223,6793,victoire,1.0,815,0.4,seuil,1,815,0,0,93,32,12,4.56
temporel,0.4,1026,True,223,6408,victoire,1.0,860,0.4,seuil,2,860,0,0,83,45,10,5.44
temporel,0.4,1027,True,223,6435,victoire,1.0,804,0.4,seuil,7,804,0,0,84,38,17,6.39
temporel,0.4,1028,False,144,2690,corps,0.6533333333333333,856,0.4,seuil,20,856,0,0,46,11,1,3.24
temporel,0.4,1029,True,223,6288,victoire,1.0,894,0.4,seuil,2,894,0,0,90,40,8,4.88
temporel,0.5,1000,True,223,6583,victoire,1.0,1159,0.5022222222222222,seuil,1,1159,0,0,69,38,7,4.32
temporel,0.5,1001,True,223,5768,victoire,1.0,1191,0.5022222222222222,seuil,3,1191,0,0,72,32,12,4.97
temporel,0.5,1002,True,223,5523,victoire,1.0,1264,0.5022222222222222,seuil,3,1264,0,0,72,33,10,4.54
temporel,0.5,1003,True,223,5410,victoire,1.0,1260,0.5022222222222222,seuil,1,1260,0,0,85,25,4,4.02
temporel,0.5,1004,True,223,5978,victoire,1.0,1241,0.5022222222222222,seuil,174,1241,0,0,76,32,10,5.4
temporel,0.5,1005,True,223,6124,victoire,1.0,1300,0.5022222222222222,seuil,10,1300,0,0,79,30,5,3.83
temporel,0.5,1006,True,223,5340,victoire,1.0,1405,0.5022222222222222,seuil,5,1405,0,0,73,33,10,5.15
temporel,0.5,1007,True,223,5674,victoire,1.0,1168,0.5066666666666667,seuil,5,1168,0,0,68,28,19,5.98
temporel,0.5,1008,True,223,5146,victoire,1.0,1164,0.5022222222222222,seuil,167,1164,0,0,67,32,17,11.58
temporel,0.5,1009,False,221,5547,corps,0.9955555555555555,1412,0.5022222222222222,seuil,12,1412,0,0,71,28,16,6.36
