n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,2,523,261.50,2.2,0,corps,199.90202449591717,0.1940
2,4,651,162.75,3.1,0,corps,199.8040979673415,0.2522
3,2,499,249.50,2.2,0,corps,199.70622038979133,0.2067
4,2,327,163.50,2.2,0,corps,199.60839173879728,0.3099
5,2,359,179.50,2.2,0,corps,199.51061198990217,0.2755
6,2,284,142.00,2.2,0,corps,199.41288111866112,0.3425
7,2,337,168.50,2.2,0,corps,199.3151991006413,0.2958
8,0,445,445.00,1.3,0,famine_truncated,199.21756591142233,0.0042
9,2,269,134.50,2.2,0,corps,199.11998152659584,0.3610
10,2,604,302.00,2.2,0,corps,199.02244592176575,0.1580
11,2,65,32.50,2.2,0,corps,198.92495907254815,1.4121
12,2,244,122.00,2.2,0,corps,198.82752095457133,0.3993
13,2,268,134.00,2.2,0,corps,198.73013154347575,0.3499
14,2,165,82.50,2.2,0,corps,198.63279081491407,0.5495
15,0,445,445.00,1.3,0,famine_truncated,198.53549874455112,0.0102
16,1,548,548.00,1.8,0,famine_truncated,198.4382553080639,0.0649
17,2,270,135.00,2.2,0,corps,198.34106048114148,0.3316
18,0,445,445.00,1.3,0,famine_truncated,198.2439142394852,0.0076
19,0,445,445.00,1.3,0,famine_truncated,198.14681655880847,0.0013
20,0,445,445.00,1.3,0,famine_truncated,198.04976741483696,0.0008
21,2,137,68.50,2.2,0,corps,197.95276678330828,0.6228
22,2,541,270.50,2.2,0,corps,197.85581463997227,0.1567
23,2,497,248.50,2.2,0,corps,197.75891096059095,0.2033
24,2,133,66.50,2.2,0,corps,197.66205572093838,0.6630
25,1,658,658.00,1.8,0,famine_truncated,197.56524889680077,0.0579
26,0,445,445.00,1.3,0,famine_truncated,197.46849046397637,0.0018
27,2,234,117.00,2.2,0,corps,197.3717803982756,0.3674
28,2,394,197.00,2.2,0,corps,197.27511867552093,0.2176
29,1,563,563.00,1.8,0,famine_truncated,197.17850527154695,0.0659
30,2,327,163.50,2.2,0,corps,197.08194016220028,0.2224
31,2,263,131.50,2.2,0,corps,196.98542332333966,0.3290
32,3,244,81.33,2.7,0,corps,196.8889547308359,0.4690
33,2,438,219.00,2.2,0,corps,196.79253436057178,0.2160
34,1,662,662.00,1.8,0,famine_truncated,196.6961621884423,0.0539
35,1,553,553.00,1.8,0,famine_truncated,196.59983819035435,0.0596
36,0,445,445.00,1.3,0,famine_truncated,196.50356234222696,0.0030
37,1,814,814.00,1.8,0,famine_truncated,196.4073346199911,0.0449
38,2,374,187.00,2.2,0,corps,196.31115499958997,0.2270
39,0,445,445.00,1.3,0,famine_truncated,196.21502345697857,0.0049
40,0,445,445.00,1.3,0,famine_truncated,196.11893996812404,0.0021
41,2,96,48.00,2.2,0,corps,196.0229045090055,0.8381
42,2,226,113.00,2.2,0,corps,195.92691705561407,0.3345
43,0,445,445.00,1.3,0,famine_truncated,195.83097758395294,0.0149
44,2,233,116.50,2.2,0,corps,195.73508607003717,0.3438
45,1,511,511.00,1.8,0,famine_truncated,195.63924248989392,0.0730
46,2,225,112.50,2.2,0,corps,195.5434468195623,0.3269
47,3,449,149.67,2.7,0,corps,195.4476990350934,0.2356
48,1,666,666.00,1.8,0,famine_truncated,195.3519991125502,0.0568
49,2,307,153.50,2.2,0,corps,195.25634702800784,0.2332
50,2,172,86.00,2.2,0,corps,195.1607427575532,0.3934
51,0,445,445.00,1.3,0,famine_truncated,195.06518627728525,0.0146
52,2,501,250.50,2.2,0,corps,194.96967756331486,0.1414
53,0,445,445.00,1.3,0,famine_truncated,194.87421659176488,0.0139
54,1,655,655.00,1.8,0,famine_truncated,194.77880333877,0.0524
55,2,634,317.00,2.2,0,corps,194.683437780477,0.1173
56,2,366,183.00,2.2,0,corps,194.5881198930444,0.1943
57,0,445,445.00,1.3,0,famine_truncated,194.49284965264278,0.0107
58,2,452,226.00,2.2,0,corps,194.39762703545455,0.1697
59,2,481,240.50,2.2,0,corps,194.30245201767406,0.1347
60,2,237,118.50,2.2,0,corps,194.2073245755076,0.2883
61,3,457,152.33,2.7,0,corps,194.11224468517327,0.2226
62,2,745,372.50,2.2,0,corps,194.0172123229011,0.0943
63,2,503,251.50,2.2,0,corps,193.92222746493297,0.1370
64,0,445,445.00,1.3,0,famine_truncated,193.82729008752273,0.0161
65,1,468,468.00,1.8,0,famine_truncated,193.73240016693597,0.0781
66,2,384,192.00,2.2,0,corps,193.63755767945028,0.1604
67,2,170,85.00,2.2,0,corps,193.54276260135498,0.3910
68,1,559,559.00,1.8,0,famine_truncated,193.44801490895128,0.0720
69,0,445,445.00,1.3,0,famine_truncated,193.35331457855233,0.0084
70,3,115,38.33,2.7,0,corps,193.25866158648302,0.7320
71,2,422,211.00,2.2,0,corps,193.1640559090801,0.1605
72,2,170,85.00,2.2,0,corps,193.0694975226921,0.3023
73,2,512,256.00,2.2,0,corps,192.9749864036795,0.1291
74,2,410,205.00,2.2,0,corps,192.88052252841447,0.1524
75,0,445,445.00,1.3,0,famine_truncated,192.78610587328106,0.0113
76,2,274,137.00,2.2,0,corps,192.6917364146751,0.2223
77,2,623,311.50,2.2,0,corps,192.59741412900425,0.1092
78,2,235,117.50,2.2,0,corps,192.50313899268787,0.2248
79,2,664,332.00,2.2,0,corps,192.40891098215724,0.1066
80,2,413,206.50,2.2,0,corps,192.31473007385534,0.1526
81,0,445,445.00,1.3,0,famine_truncated,192.22059624423696,0.0557
82,2,555,277.50,2.2,0,corps,192.1265094697686,0.1608
83,2,501,250.50,2.2,0,corps,192.03246972692855,0.1736
84,2,278,139.00,2.2,0,corps,191.93847699220697,0.3228
85,1,774,774.00,1.8,0,famine_truncated,191.8445312421056,0.0758
86,2,494,247.00,2.2,0,corps,191.75063245313802,0.1808
87,2,515,257.50,2.2,0,corps,191.65678060182952,0.1550
88,2,296,148.00,2.2,0,corps,191.56297566471713,0.2722
89,2,333,166.50,2.2,0,corps,191.46921761834966,0.2267
90,2,199,99.50,2.2,0,corps,191.3755064392876,0.3788
91,2,325,162.50,2.2,0,corps,191.28184210410308,0.1913
92,2,280,140.00,2.2,0,corps,191.18822458938007,0.2451
93,2,361,180.50,2.2,0,corps,191.09465387171417,0.1854
94,2,436,218.00,2.2,0,corps,191.00112992771275,0.1677
95,0,445,445.00,1.3,0,famine_truncated,190.90765273399478,0.0447
96,2,432,216.00,2.2,0,corps,190.81422226719093,0.1779
97,0,445,445.00,1.3,0,famine_truncated,190.72083850394364,0.0364
98,2,385,192.50,2.2,0,corps,190.62750142090695,0.1641
99,2,101,50.50,2.2,0,corps,190.5342109947466,0.6453
100,2,485,242.50,2.2,0,corps,190.44096720213994,0.1589
101,2,201,100.50,2.2,0,corps,190.34777001977608,0.3148
102,3,424,141.33,2.7,0,corps,190.2546194243557,0.1903
103,2,296,148.00,2.2,0,corps,190.16151539259113,0.1932
104,2,362,181.00,2.2,0,corps,190.06845790120636,0.1583
105,2,119,59.50,2.2,0,corps,189.97544692693705,0.4579
106,0,445,445.00,1.3,0,famine_truncated,189.88248244653045,0.0284
107,2,846,423.00,2.2,0,corps,189.78956443674542,0.0835
108,2,569,284.50,2.2,0,corps,189.69669287435246,0.1108
109,1,655,655.00,1.8,0,famine_truncated,189.6038677361337,0.0539
110,2,171,85.50,2.2,0,corps,189.51108899888283,0.2453
111,0,445,445.00,1.3,0,famine_truncated,189.4183566394052,0.0248
112,1,448,448.00,1.8,0,famine_truncated,189.32567063451765,0.0764
113,2,497,248.50,2.2,0,corps,189.23303096104874,0.1004
114,2,478,239.00,2.2,0,corps,189.1404375958386,0.1059
115,0,445,445.00,1.3,0,famine_truncated,189.04789051573874,0.0263
116,2,133,66.50,2.2,0,corps,188.95538969761253,0.3832
117,2,384,192.00,2.2,0,corps,188.86293511833466,0.1876
118,1,571,571.00,1.8,0,famine_truncated,188.77052675479155,0.0616
119,0,445,445.00,1.3,0,famine_truncated,188.6781645838811,0.0149
120,2,460,230.00,2.2,0,corps,188.58584858251274,0.1214
121,2,421,210.50,2.2,0,corps,188.4935787276075,0.2184
122,1,493,493.00,1.8,0,famine_truncated,188.4013549960979,0.0953
123,2,201,100.50,2.2,0,corps,188.30917736492802,0.3247
124,2,180,90.00,2.2,0,corps,188.21704581105342,0.3582
125,2,464,232.00,2.2,0,corps,188.12496031144127,0.1725
126,0,445,445.00,1.3,0,famine_truncated,188.03292084307012,0.0614
127,2,337,168.50,2.2,0,corps,187.94092738293017,0.2162
128,0,445,445.00,1.3,0,famine_truncated,187.84897990802298,0.0461
129,2,373,186.50,2.2,0,corps,187.75707839536176,0.1937
130,2,305,152.50,2.2,0,corps,187.66522282197107,0.1703
131,2,365,182.50,2.2,0,corps,187.57341316488706,0.2126
132,2,257,128.50,2.2,0,corps,187.4816494011573,0.2604
133,2,73,36.50,2.2,0,corps,187.38993150784083,0.7186
134,2,616,308.00,2.2,0,corps,187.29825946200822,0.1517
135,2,302,151.00,2.2,0,corps,187.20663324074138,0.2146
136,0,445,445.00,1.3,0,famine_truncated,187.11505282113384,0.0466
137,2,528,264.00,2.2,0,corps,187.0235181802905,0.1392
138,3,535,178.33,2.7,0,corps,186.9320292953276,0.2106
139,2,91,45.50,2.2,0,corps,186.84058614337297,0.6503
140,2,313,156.50,2.2,0,corps,186.74918870156588,0.2368
141,2,230,115.00,2.2,0,corps,186.65783694705686,0.3684
142,2,228,114.00,2.2,0,corps,186.56653085700805,0.3358
143,1,472,472.00,1.8,0,famine_truncated,186.4752704085929,0.1430
144,2,176,88.00,2.2,0,corps,186.38405557899634,0.3445
145,2,304,152.00,2.2,0,corps,186.2928863454146,0.2707
146,2,133,66.50,2.2,0,corps,186.20176268505537,0.3975
147,2,449,224.50,2.2,0,corps,186.11068457513778,0.1573
148,1,451,451.00,1.8,0,famine_truncated,186.0196519928923,0.1258
149,2,482,241.00,2.2,0,corps,185.92866491556074,0.1562
150,2,470,235.00,2.2,0,corps,185.83772332039638,0.2361
151,2,179,89.50,2.2,0,corps,185.74682718466377,0.3573
152,1,713,713.00,1.8,0,famine_truncated,185.65597648563892,0.1122
153,2,316,158.00,2.2,0,corps,185.56517120060914,0.2349
154,1,502,502.00,1.8,0,famine_truncated,185.47441130687307,0.1232
155,2,348,174.00,2.2,0,corps,185.38369678174084,0.2512
156,2,406,203.00,2.2,0,corps,185.2930276025337,0.2070
157,1,461,461.00,1.8,0,famine_truncated,185.20240374658442,0.1319
158,2,166,83.00,2.2,0,corps,185.11182519123702,0.3715
159,2,103,51.50,2.2,0,corps,185.02129191384685,0.5899
160,0,445,445.00,1.3,0,famine_truncated,184.9308038917806,0.0710
161,0,445,445.00,1.3,0,famine_truncated,184.8403611024163,0.0669
162,2,347,173.50,2.2,0,corps,184.74996352314318,0.2246
163,2,386,193.00,2.2,0,corps,184.65961113136188,0.2695
164,2,124,62.00,2.2,0,corps,184.56930390448434,0.4103
