episode,start_len,apples,steps,end,epsilon,loss,total_steps,elapsed_s
164,3,53,2000,tronqué,0.050,0.2805,289125,372
165,3,50,2000,tronqué,0.050,0.2646,291125,374
166,3,58,2000,tronqué,0.050,0.2682,293125,376
167,78,31,2000,tronqué,0.050,0.2520,295125,379
168,84,26,2000,tronqué,0.050,0.2456,297125,381
169,3,60,2000,tronqué,0.050,0.2581,299125,384
170,3,51,2000,tronqué,0.050,0.2487,301125,386
171,3,56,2000,tronqué,0.050,0.2445,303125,388
172,27,34,2000,tronqué,0.050,0.2450,305125,390
173,215,11,37,win,0.050,0.4270,305162,390
174,3,57,2000,tronqué,0.050,0.2409,307162,392
175,3,52,2000,tronqué,0.050,0.2607,309162,395
176,108,25,2000,tronqué,0.050,0.2610,311162,401
177,212,14,59,win,0.050,0.2402,311221,401
178,3,50,2000,tronqué,0.050,0.2516,313221,403
179,84,34,2000,tronqué,0.050,0.2673,315221,405
180,3,54,2000,tronqué,0.050,0.2815,317221,408
181,3,56,2000,tronqué,0.050,0.2542,319221,410
182,3,53,2000,tronqué,0.050,0.2506,321221,412
183,6,49,2000,tronqué,0.050,0.2486,323221,415
184,3,42,2000,tronqué,0.050,0.2504,325221,417
185,170,35,2000,tronqué,0.050,0.2618,327221,419
186,195,31,395,win,0.050,0.2281,327616,420
187,208,18,85,win,0.050,0.2408,327701,420
188,3,56,2000,tronqué,0.050,0.2874,329701,422
189,6,54,2000,tronqué,0.050,0.2683,331701,424
190,3,62,2000,tronqué,0.050,0.2846,333701,427
191,8,50,2000,tronqué,0.050,0.2444,335701,429
192,97,34,2000,tronqué,0.050,0.2700,337701,431
193,18,42,2000,tronqué,0.050,0.2774,339701,434
194,133,24,2000,tronqué,0.050,0.2694,341701,436
195,3,55,2000,tronqué,0.050,0.2820,343701,438
196,3,54,2000,tronqué,0.050,0.2683,345701,440
197,79,34,2000,tronqué,0.050,0.2647,347701,443
198,3,54,2000,tronqué,0.050,0.2697,349701,445
199,102,36,2000,tronqué,0.050,0.2649,351701,447
200,180,46,1534,win,0.050,0.2875,353235,449
201,116,29,2000,tronqué,0.050,0.3013,355235,456
202,3,60,2000,tronqué,0.050,0.3068,357235,458
203,3,48,2000,tronqué,0.050,0.2835,359235,460
204,188,38,1547,win,0.050,0.3244,360782,462
205,3,49,2000,tronqué,0.050,0.3096,362782,464
206,3,54,2000,tronqué,0.050,0.3229,364782,467
207,3,53,2000,tronqué,0.050,0.3210,366782,469
208,3,53,2000,tronqué,0.050,0.3172,368782,471
209,3,54,2000,tronqué,0.050,0.3501,370782,473
210,167,59,1916,win,0.050,0.3504,372698,475
211,90,40,2000,tronqué,0.050,0.3847,374698,478
212,21,38,2000,tronqué,0.050,0.3619,376698,480
213,3,52,2000,tronqué,0.050,0.3172,378698,482
214,95,29,2000,tronqué,0.050,0.3247,380698,485
215,3,51,2000,tronqué,0.050,0.3395,382698,487
216,3,52,2000,tronqué,0.050,0.3188,384698,489
217,3,56,2000,tronqué,0.050,0.3039,386698,491
218,3,51,2000,tronqué,0.050,0.3363,388698,494
219,3,51,2000,tronqué,0.050,0.3290,390698,496
220,3,53,2000,tronqué,0.050,0.3377,392698,498
221,3,53,2000,tronqué,0.050,0.3119,394698,500
222,3,58,2000,tronqué,0.050,0.3182,396698,503
223,3,52,2000,tronqué,0.050,0.3274,398698,505
224,106,32,2000,tronqué,0.050,0.3028,400698,507
225,3,54,2000,tronqué,0.050,0.3232,402698,510
226,124,30,2000,tronqué,0.050,0.3132,404698,516
227,3,57,2000,tronqué,0.050,0.3199,406698,518
228,170,41,2000,tronqué,0.050,0.3057,408698,521
229,119,41,2000,tronqué,0.050,0.3123,410698,523
230,3,53,2000,tronqué,0.050,0.3006,412698,525
231,189,37,1184,win,0.050,0.2809,413882,526
232,3,51,2000,tronqué,0.050,0.3131,415882,529
233,3,53,2000,tronqué,0.050,0.3117,417882,531
234,102,30,2000,tronqué,0.050,0.2949,419882,533
235,101,29,2000,tronqué,0.050,0.3102,421882,536
236,3,51,2000,tronqué,0.050,0.3257,423882,538
237,72,45,2000,tronqué,0.050,0.3192,425882,540
238,61,35,2000,tronqué,0.050,0.3142,427882,543
239,192,34,494,win,0.050,0.2690,428376,543
240,51,40,2000,tronqué,0.050,0.2713,430376,546
241,103,40,2000,tronqué,0.050,0.2749,432376,548
242,3,53,2000,tronqué,0.050,0.2855,434376,550
243,3,54,2000,tronqué,0.050,0.2803,436376,552
244,43,45,2000,tronqué,0.050,0.2880,438376,555
245,185,41,1152,win,0.050,0.2916,439528,556
246,162,28,2000,tronqué,0.050,0.3019,441528,558
247,40,35,2000,tronqué,0.050,0.3072,443528,561
248,4,55,2000,tronqué,0.050,0.2850,445528,563
249,8,61,2000,tronqué,0.050,0.3156,447528,566
250,3,53,2000,tronqué,0.050,0.3122,449528,568
251,3,52,2000,tronqué,0.050,0.2987,451528,575
252,210,16,71,win,0.050,0.3494,451599,575
253,99,41,2000,tronqué,0.050,0.2968,453599,577
254,153,18,2000,tronqué,0.050,0.2900,455599,579
255,3,54,2000,tronqué,0.050,0.2838,457599,582
256,59,32,2000,tronqué,0.050,0.2917,459599,584
257,3,58,2000,tronqué,0.050,0.3027,461599,587
258,171,55,1925,win,0.050,0.2896,463524,589
259,139,29,2000,tronqué,0.050,0.3012,465524,591
260,3,54,2000,tronqué,0.050,0.3032,467524,593
261,3,58,2000,tronqué,0.050,0.2945,469524,596
262,168,58,1745,win,0.050,0.2880,471269,598
263,54,31,2000,tronqué,0.050,0.2952,473269,600
264,70,38,2000,tronqué,0.050,0.2868,475269,602
265,54,34,2000,tronqué,0.050,0.2827,477269,604
266,3,58,2000,tronqué,0.050,0.2882,479269,607
267,202,24,161,win,0.050,0.3159,479430,607
268,187,39,1230,win,0.050,0.2874,480660,608
269,3,50,2000,tronqué,0.050,0.3018,482660,610
270,3,54,2000,tronqué,0.050,0.2956,484660,613
271,120,31,2000,tronqué,0.050,0.3079,486660,615
272,179,47,1596,win,0.050,0.3158,488256,617
273,3,51,2000,tronqué,0.050,0.3426,490256,619
274,3,50,2000,tronqué,0.050,0.3272,492256,621
275,40,31,2000,tronqué,0.050,0.3109,494256,623
276,190,36,1228,win,0.050,0.3226,495484,629
277,3,59,2000,tronqué,0.050,0.3364,497484,631
278,3,64,2000,tronqué,0.050,0.3386,499484,633
279,159,34,2000,tronqué,0.050,0.3534,501484,636
280,3,57,2000,tronqué,0.050,0.3553,503484,638
281,3,46,2000,tronqué,0.050,0.3548,505484,640
282,48,30,2000,tronqué,0.050,0.3450,507484,642
283,3,55,2000,tronqué,0.050,0.3458,509484,645
284,3,59,2000,tronqué,0.050,0.3098,511484,647
285,150,30,2000,tronqué,0.050,0.3444,513484,649
286,3,57,2000,tronqué,0.050,0.3239,515484,651
287,43,34,2000,tronqué,0.050,0.3292,517484,654
288,168,29,2000,tronqué,0.050,0.3047,519484,656
289,3,65,2000,tronqué,0.050,0.3202,521484,658
290,3,57,2000,tronqué,0.050,0.3239,523484,660
291,58,31,2000,tronqué,0.050,0.3308,525484,663
292,72,34,2000,tronqué,0.050,0.3235,527484,665
293,183,43,1958,win,0.050,0.2974,529442,667
294,3,51,2000,tronqué,0.050,0.3131,531442,669
295,55,40,2000,tronqué,0.050,0.3025,533442,672
296,3,58,2000,tronqué,0.050,0.3366,535442,674
297,163,19,2000,tronqué,0.050,0.3380,537442,676
298,3,55,2000,tronqué,0.050,0.3336,539442,678
299,24,49,2000,tronqué,0.050,0.3106,541442,681
300,155,18,2000,tronqué,0.050,0.3091,543442,683
301,151,35,2000,tronqué,0.050,0.3276,545442,689
302,174,52,1937,win,0.050,0.3151,547379,691
303,3,56,2000,tronqué,0.050,0.3392,549379,694
304,30,36,2000,tronqué,0.050,0.3214,551379,696
305,3,54,2000,tronqué,0.050,0.2923,553379,698
306,128,34,2000,tronqué,0.050,0.3100,555379,701
307,3,54,2000,tronqué,0.050,0.3091,557379,703
308,3,56,2000,tronqué,0.050,0.3082,559379,705
309,3,60,2000,tronqué,0.050,0.2994,561379,708
310,3,50,2000,tronqué,0.050,0.3481,563379,710
311,3,61,2000,tronqué,0.050,0.2860,565379,712
312,72,27,2000,tronqué,0.050,0.2922,567379,715
313,3,54,2000,tronqué,0.050,0.3029,569379,717
314,3,53,2000,tronqué,0.050,0.3188,571379,719
315,127,32,2000,tronqué,0.050,0.3005,573379,721
316,52,36,2000,tronqué,0.050,0.2917,575379,724
317,46,38,2000,tronqué,0.050,0.2881,577379,726
318,3,54,2000,tronqué,0.050,0.2970,579379,728
319,3,59,2000,tronqué,0.050,0.2729,581379,731
320,61,29,2000,tronqué,0.050,0.2623,583379,733
321,199,27,211,win,0.050,0.3088,583590,733
322,3,60,2000,tronqué,0.050,0.2851,585590,735
323,3,56,2000,tronqué,0.050,0.2857,587590,738
324,25,40,2000,tronqué,0.050,0.2659,589590,740
325,3,59,2000,tronqué,0.050,0.2796,591590,742
326,3,56,2000,tronqué,0.050,0.2522,593590,748
327,3,66,2000,tronqué,0.050,0.2489,595590,751
328,3,57,2000,tronqué,0.050,0.2539,597590,753
329,65,34,2000,tronqué,0.050,0.2438,599590,756
330,3,57,2000,tronqué,0.050,0.2534,601590,758
331,3,55,2000,tronqué,0.050,0.2528,603590,760
332,211,15,80,win,0.050,0.2664,603670,760
333,3,54,2000,tronqué,0.050,0.2492,605670,763
334,3,58,2000,tronqué,0.050,0.2670,607670,765
335,3,50,2000,tronqué,0.050,0.2613,609670,767
336,3,50,2000,tronqué,0.050,0.2621,611670,770
337,85,33,2000,tronqué,0.050,0.2655,613670,772
338,46,49,2000,tronqué,0.050,0.2371,615670,774
339,146,27,2000,tronqué,0.050,0.2813,617670,777
340,3,53,2000,tronqué,0.050,0.2788,619670,779
341,3,55,2000,tronqué,0.050,0.2592,621670,781
342,128,32,2000,tronqué,0.050,0.2394,623670,783
343,3,52,2000,tronqué,0.050,0.2555,625670,786
344,3,56,2000,tronqué,0.050,0.2509,627670,788
345,25,41,2000,tronqué,0.050,0.2581,629670,791
346,8,55,2000,tronqué,0.050,0.2311,631670,795
347,72,26,2000,tronqué,0.050,0.2334,633670,798
348,3,51,2000,tronqué,0.050,0.2500,635670,804
349,3,54,2000,tronqué,0.050,0.2483,637670,809
350,3,51,2000,tronqué,0.050,0.2217,639670,814
351,3,55,2000,tronqué,0.050,0.2371,641670,822
352,3,56,2000,tronqué,0.050,0.2510,643670,825
353,3,54,2000,tronqué,0.050,0.2445,645670,827
354,179,47,765,win,0.050,0.2412,646435,828
355,3,54,2000,tronqué,0.050,0.2594,648435,830
356,158,30,2000,tronqué,0.050,0.2292,650435,833
357,109,29,2000,tronqué,0.050,0.2404,652435,835
358,3,56,2000,tronqué,0.050,0.2428,654435,837
359,195,31,411,win,0.050,0.2628,654846,838
360,3,54,2000,tronqué,0.050,0.2544,656846,840
361,22,43,2000,tronqué,0.050,0.2599,658846,842
362,200,26,201,win,0.050,0.2699,659047,843
363,137,22,2000,tronqué,0.050,0.2571,661047,845
364,3,59,2000,tronqué,0.050,0.2521,663047,847
365,3,56,2000,tronqué,0.050,0.2572,665047,849
366,58,36,2000,tronqué,0.050,0.2507,667047,852
367,3,54,2000,tronqué,0.050,0.2549,669047,854
368,169,27,2000,tronqué,0.050,0.2505,671047,856
369,3,51,2000,tronqué,0.050,0.2646,673047,859
370,170,26,2000,tronqué,0.050,0.2567,675047,861
371,18,46,2000,tronqué,0.050,0.2671,677047,863
372,31,44,2000,tronqué,0.050,0.2669,679047,866
373,3,55,2000,tronqué,0.050,0.2672,681047,868
374,186,40,1041,win,0.050,0.2633,682088,869
375,63,33,2000,tronqué,0.050,0.2871,684088,871
376,3,63,2000,tronqué,0.050,0.2783,686088,878
377,194,32,576,win,0.050,0.2766,686664,879
378,136,43,2000,tronqué,0.050,0.2809,688664,881
379,3,53,2000,tronqué,0.050,0.2890,690664,883
380,176,50,1151,win,0.050,0.2745,691815,884
381,3,54,2000,tronqué,0.050,0.3017,693815,887
382,3,56,2000,tronqué,0.050,0.2996,695815,889
383,48,38,2000,tronqué,0.050,0.2903,697815,891
384,3,53,2000,tronqué,0.050,0.2994,699815,894
385,192,34,1057,win,0.050,0.2869,700872,895
386,87,32,2000,tronqué,0.050,0.3268,702872,897
387,54,36,2000,tronqué,0.050,0.3130,704872,900
388,3,59,2000,tronqué,0.050,0.3017,706872,902
389,3,59,2000,tronqué,0.050,0.3176,708872,904
390,76,32,2000,tronqué,0.050,0.2960,710872,907
391,66,39,2000,tronqué,0.050,0.2909,712872,909
392,183,43,1255,win,0.050,0.2998,714127,911
393,43,34,2000,tronqué,0.050,0.3242,716127,913
394,3,56,2000,tronqué,0.050,0.3014,718127,916
395,3,56,2000,tronqué,0.050,0.3088,720127,918
396,66,26,2000,tronqué,0.050,0.3146,722127,921
397,3,63,2000,tronqué,0.050,0.3176,724127,923
398,3,58,2000,tronqué,0.050,0.3065,726127,925
399,205,21,127,win,0.050,0.3421,726254,925
400,83,31,2000,tronqué,0.050,0.3179,728254,928
401,208,18,129,win,0.050,0.2651,728383,937
402,3,53,2000,tronqué,0.050,0.3234,730383,941
403,3,57,2000,tronqué,0.050,0.3056,732383,946
404,3,60,2000,tronqué,0.050,0.3331,734383,950
405,62,29,2000,tronqué,0.050,0.3133,736383,955
406,3,47,2000,tronqué,0.050,0.3047,738383,959
407,3,57,2000,tronqué,0.050,0.3108,740383,964
408,3,52,2000,tronqué,0.050,0.2991,742383,966
409,3,57,2000,tronqué,0.050,0.3192,744383,969
410,3,56,2000,tronqué,0.050,0.3068,746383,971
411,3,55,2000,tronqué,0.050,0.2881,748383,973
412,92,30,2000,tronqué,0.050,0.2938,750383,976
413,3,58,2000,tronqué,0.050,0.2934,752383,978
414,67,28,2000,tronqué,0.050,0.2776,754383,981
415,209,17,82,win,0.050,0.2989,754465,981
416,3,56,2000,tronqué,0.050,0.2872,756465,983
417,3,53,2000,tronqué,0.050,0.3006,758465,985
418,75,39,2000,tronqué,0.050,0.2781,760465,988
419,3,51,2000,tronqué,0.050,0.2940,762465,990
420,3,55,2000,tronqué,0.050,0.2805,764465,992
421,164,47,2000,tronqué,0.050,0.2798,766465,995
422,3,51,2000,tronqué,0.050,0.2980,768465,997
423,102,26,2000,tronqué,0.050,0.3040,770465,1000
424,3,55,2000,tronqué,0.050,0.2710,772465,1002
425,156,29,2000,tronqué,0.050,0.2801,774465,1004
426,3,56,2000,tronqué,0.050,0.2780,776465,1011
427,3,50,2000,tronqué,0.050,0.2942,778465,1013
428,10,50,2000,tronqué,0.050,0.2917,780465,1016
429,164,26,2000,tronqué,0.050,0.2762,782465,1018
430,42,29,2000,tronqué,0.050,0.2612,784465,1020
431,61,28,2000,tronqué,0.050,0.2829,786465,1022
432,50,39,2000,tronqué,0.050,0.2467,788465,1025
433,185,41,1003,win,0.050,0.2635,789468,1026
434,102,47,2000,tronqué,0.050,0.2735,791468,1028
435,150,27,2000,tronqué,0.050,0.2504,793468,1031
436,115,26,2000,tronqué,0.050,0.2486,795468,1033
437,3,53,2000,tronqué,0.050,0.2485,797468,1035
438,197,29,188,win,0.050,0.2773,797656,1036
439,3,51,2000,tronqué,0.050,0.2640,799656,1038
440,193,33,638,win,0.050,0.2765,800294,1039
441,3,54,2000,tronqué,0.050,0.2775,802294,1041
442,147,27,2000,tronqué,0.050,0.2570,804294,1044
