partie,score,record,score_moyen,epsilon,victoire
305,18,48,23.290,0.0100,71120,540.3,0
306,26,48,23.460,0.0100,71407,542.7,0
307,34,48,23.670,0.0100,71700,545.2,0
308,11,48,23.450,0.0100,71800,546.0,0
309,13,48,23.290,0.0100,71949,547.1,0
310,32,48,23.360,0.0100,72396,550.6,0
311,33,48,23.530,0.0100,72785,553.6,0
312,18,48,23.490,0.0100,72943,554.8,0
313,16,48,23.330,0.0100,73138,556.3,0
314,19,48,23.330,0.0100,73390,558.2,0
315,18,48,23.080,0.0100,73532,559.2,0
316,41,48,23.290,0.0100,74051,563.3,0
317,16,48,23.400,0.0100,74268,564.9,0
318,22,48,23.450,0.0100,74484,566.6,0
319,28,48,23.530,0.0100,74828,569.2,0
320,36,48,23.750,0.0100,75294,572.7,0
321,29,48,23.880,0.0100,75596,575.2,0
322,23,48,23.860,0.0100,75890,577.4,0
323,22,48,23.820,0.0100,76199,579.7,0
324,30,48,23.800,0.0100,76621,583.2,0
325,14,48,23.780,0.0100,76782,584.6,0
326,25,48,23.590,0.0100,77077,587.2,0
327,19,48,23.680,0.0100,77344,589.6,0
328,28,48,23.830,0.0100,77691,592.4,0
329,13,48,23.700,0.0100,77810,593.3,0
330,8,48,23.520,0.0100,77875,593.9,0
331,45,48,23.580,0.0100,78420,598.3,0
332,18,48,23.630,0.0100,78635,600.1,0
333,28,48,23.530,0.0100,79003,603.2,0
334,13,48,23.460,0.0100,79151,604.4,0
335,17,48,23.300,0.0100,79291,605.6,0
336,29,48,23.220,0.0100,79648,608.4,0
337,14,48,23.130,0.0100,79766,609.4,0
338,38,48,23.300,0.0100,80128,612.3,0
339,23,48,23.410,0.0100,80401,614.6,0
340,21,48,23.380,0.0100,80630,616.4,0
341,26,48,23.300,0.0100,80903,618.5,0
342,19,48,23.270,0.0100,81093,620.0,0
343,24,48,23.360,0.0100,81378,622.3,0
344,8,48,23.180,0.0100,81438,622.8,0
345,16,48,23.210,0.0100,81646,624.4,0
346,21,48,23.200,0.0100,81826,625.8,0
347,16,48,23.300,0.0100,82055,627.7,0
348,15,48,23.150,0.0100,82197,628.8,0
349,12,48,23.090,0.0100,82296,629.5,0
350,16,48,23.130,0.0100,82497,631.1,0
351,21,48,23.200,0.0100,82718,632.9,0
352,38,48,23.400,0.0100,83205,637.2,0
353,12,48,23.150,0.0100,83337,638.3,0
354,17,48,23.150,0.0100,83558,640.2,0
355,21,48,23.000,0.0100,83775,642.0,0
356,20,48,22.960,0.0100,83988,643.6,0
357,38,48,23.180,0.0100,84451,647.4,0
358,15,48,23.110,0.0100,84671,649.2,0
359,20,48,23.090,0.0100,84963,651.5,0
360,29,48,23.190,0.0100,85278,654.0,0
361,6,48,23.100,0.0100,85334,654.5,0
362,23,48,23.050,0.0100,85597,656.7,0
363,22,48,23.120,0.0100,85802,658.4,0
364,26,48,23.120,0.0100,86140,661.5,0
365,18,48,23.030,0.0100,86368,663.4,0
366,20,48,23.070,0.0100,86549,664.9,0
367,28,48,23.100,0.0100,86850,667.4,0
368,24,48,23.140,0.0100,87078,669.1,0
369,22,48,23.040,0.0100,87278,670.8,0
370,8,48,22.950,0.0100,87355,671.5,0
371,17,48,22.830,0.0100,87576,673.2,0
372,3,48,22.640,0.0100,87601,673.4,0
373,26,48,22.570,0.0100,87927,675.9,0
374,24,48,22.630,0.0100,88210,678.2,0
375,15,48,22.660,0.0100,88380,679.6,0
376,14,48,22.540,0.0100,88514,680.7,0
377,17,48,22.510,0.0100,88694,682.2,0
378,28,48,22.530,0.0100,89011,684.8,0
379,37,48,22.560,0.0100,89483,688.8,0
380,38,48,22.840,0.0100,89953,692.9,0
381,10,48,22.710,0.0100,90056,693.8,0
382,20,48,22.790,0.0100,90250,695.5,0
383,2,48,22.390,0.0100,90264,695.6,0
384,29,48,22.220,0.0100,90571,698.3,0
385,25,48,22.120,0.0100,90836,700.7,0
386,28,48,22.140,0.0100,91154,703.3,0
387,25,48,22.170,0.0100,91544,706.5,0
388,34,48,22.320,0.0100,91962,709.8,0
389,36,48,22.470,0.0100,92393,713.2,0
390,13,48,22.250,0.0100,92535,714.3,0
391,17,48,22.300,0.0100,92741,716.0,0
392,17,48,22.040,0.0100,92924,717.3,0
393,14,48,21.910,0.0100,93072,718.5,0
394,35,48,22.050,0.0100,93482,721.7,0
395,26,48,22.090,0.0100,93787,723.9,0
396,15,48,22.070,0.0100,93952,725.3,0
397,24,48,22.100,0.0100,94261,727.5,0
398,19,48,22.070,0.0100,94459,729.0,0
399,37,48,22.040,0.0100,94881,732.4,0
400,23,48,22.130,0.0100,95147,734.8,0
401,26,48,22.050,0.0100,95396,740.1,0
402,24,48,22.210,0.0100,95638,742.1,0
